,Model,Injury.Severity,Number.of.Engines
48864,SURREL GUPPY,Non-Fatal,1.0
48868,BK-117-A3,Non-Fatal,2.0
48881,737-200,Fatal(60),2.0
48884,BE-55 (T42A),Non-Fatal,2.0
48885,E75-N1,Non-Fatal,1.0
48888,CL-65,Incident,2.0
48890,CELERITY,Fatal(1),1.0
48892,RH-1 FALCON,Fatal(1),1.0
48906,FERGUSON F-II,Non-Fatal,1.0
48910,AS 355F1,Fatal(7),2.0
48914,206A-1,Non-Fatal,1.0
48916,ANDERSON KINGFISHER,Non-Fatal,1.0
48918,ROTOWAY EXEC 90,Non-Fatal,1.0
48926,MXL II SPORT,Fatal(1),1.0
48928,ATR 42-300,Incident,2.0
48931,AS350B,Fatal(3),1.0
48934,AVID - MAGNUM,Non-Fatal,1.0
48941,PITTS MODEL 12,Non-Fatal,1.0
48942,LIONHEART,Non-Fatal,1.0
48947,CRAZY 8,Fatal(1),1.0
48949,SHERPA,Non-Fatal,1.0
48951,R-22 Beta,Non-Fatal,1.0
48962,BH-222-U,Non-Fatal,2.0
48971,SONEX,Non-Fatal,1.0
48972,ZODIAC CH 601,Fatal(2),1.0
48973,Express 90,Non-Fatal,1.0
48976,SD3-30 200,Non-Fatal,2.0
48980,BE-A35,Non-Fatal,1.0
49012,AQUILLA,Fatal(1),1.0
49017,ROTORWAY 152,Non-Fatal,1.0
49030,B-747-422,Incident,4.0
49031,ATR-42-2000,Incident,2.0
49042,TIME WARP SPITFIRE 9,Fatal(1),1.0
49050,PA-31 NAVAJO,Fatal(11),2.0
49057,114-B,Non-Fatal,1.0
49061,AT-802F,Non-Fatal,1.0
49065,CHALLENGER-2,Non-Fatal,1.0
49067,MURPHY SR 2500,Fatal(2),1.0
49088,BENSEN GYROCOPTER,Non-Fatal,1.0
49103,S2R-600,Fatal(1),1.0
49131,F-100,Incident,2.0
49141,OH-58C,Fatal(2),1.0
49144,SE5-A,Non-Fatal,1.0
49145,EUROPA TRI-GEAR,Non-Fatal,1.0
49155,LANCAIR IVP,Non-Fatal,1.0
49160,FB-582,Non-Fatal,1.0
49175,777-223,Non-Fatal,2.0
49178,A-1B,Non-Fatal,1.0
49181,F260B,Non-Fatal,1.0
49184,RANS S-12 AIRAILE,Non-Fatal,1.0
49199,206H,Non-Fatal,1.0
49202,WITTMAN W10,Non-Fatal,1.0
49207,EARLY BIRD -JENNY,Non-Fatal,1.0
49209,KITFOX MODEL 1,Non-Fatal,1.0
49212,BG-12BD,Fatal(1),0.0
49214,S1-T,Fatal(1),1.0
49250,BL7-AC,Non-Fatal,1.0
49257,ZODIAC CH-600,Fatal(1),1.0
49268,THORP T-18CWS,Fatal(2),1.0
49270,VAN RV-6A,Non-Fatal,1.0
49276,B-95,Fatal(1),2.0
49281,WILLIAMS MITE M18L,Non-Fatal,1.0
49282,STREAKER,Non-Fatal,1.0
49291,G-IV,Non-Fatal,2.0
49302,UH-1H,Fatal(2),1.0
49304,M20L,Non-Fatal,1.0
49305,CA-8,Non-Fatal,1.0
49318,RANS S12XL,Non-Fatal,1.0
49328,B24,Non-Fatal,1.0
49332,HORNET,Non-Fatal,1.0
49368,STARDUSTER II AS300,Non-Fatal,1.0
49375,11AC-991,Non-Fatal,1.0
49380,CRJ,Non-Fatal,2.0
49383,PA-16,Fatal(1),1.0
49384,PA-31T3,Fatal(5),2.0
49392,767-332ER,Non-Fatal,2.0
49403,B99,Non-Fatal,2.0
49417,AS-350B-3,Non-Fatal,1.0
49418,DH-100 MK.6,Fatal(1),1.0
49420,RANS-12,Non-Fatal,1.0
49423,T-28D,Non-Fatal,1.0
49439,M20S,Non-Fatal,1.0
49453,LP65,Non-Fatal,1.0
49458,PA-38,Fatal(1),1.0
49461,KNOWLES-THORP KT-18,Fatal(2),1.0
49473,TANGO 2,Non-Fatal,1.0
49482,182S,Fatal(1),1.0
49483,THORPE T-18C,Fatal(2),1.0
49492,MU-2B-26A,Fatal(4),2.0
49510,WAG-AERO CUBBY,Non-Fatal,1.0
49515,R-182,Fatal(1),1.0
49518,CL600-2B16,Fatal(2),2.0
49527,VENTURE MODEL 20,Non-Fatal,1.0
49531,BE-A36,Non-Fatal,1.0
49533,AS350-BH,Non-Fatal,1.0
49535,172-B,Non-Fatal,1.0
49553,AVID,Non-Fatal,1.0
49557,AS-355-F2,Fatal(1),2.0
49558,335,Fatal(3),2.0
49562,G-1159A,Non-Fatal,2.0
49564,B-727-61,Incident,3.0
49572,JETSTREAM 3201,Non-Fatal,2.0
49573,BE-23-24,Fatal(3),1.0
49574,PT-46,Non-Fatal,1.0
49577,HARMON ROCKET 2,Non-Fatal,1.0
49578,HALLETT-1,Non-Fatal,1.0
49581,LUTON BETA,Non-Fatal,1.0
49584,PITTS SPECIAL S,Non-Fatal,1.0
49589,CH2000,Non-Fatal,1.0
49593,WEEDHOPPER,Non-Fatal,1.0
49595,C A SPCL QUICKS,Non-Fatal,1.0
49605,ADVENTURER,Fatal(1),1.0
49607,M-20J,Fatal(2),1.0
49608,400A,Incident,2.0
49609,35B33,Non-Fatal,1.0
49631,AS-350BA,Fatal(1),1.0
49636,PITTS SPECIAL S1S,Non-Fatal,1.0
49639,PT1,Non-Fatal,1.0
49640,F1A,Non-Fatal,1.0
49648,Bowers Flybaby,Non-Fatal,1.0
49659,FIREFLY,Non-Fatal,1.0
49667,PA28-200,Fatal(2),1.0
49672,340-B,Non-Fatal,2.0
49678,SA226TC,Fatal(1),2.0
49679,425,Fatal(2),2.0
49681,AS-350B2,Non-Fatal,1.0
49684,TUKAN,Fatal(1),1.0
49691,BO-105CBS-5,Non-Fatal,2.0
49693,737-790,Non-Fatal,2.0
49696,AS 350B-3,Non-Fatal,1.0
49700,Glasair 1RG,Fatal(2),1.0
49704,Lake Seawolf,Non-Fatal,1.0
49708,F-16CG,Fatal(1),1.0
49709,AS350B2,Fatal(1),1.0
49717,RAF 2000 GTX,Non-Fatal,1.0
49719,AEROCOMP CA6WB,Non-Fatal,1.0
49721,7CCM-200,Non-Fatal,1.0
49727,A300B4-605R,Fatal(1),2.0
49731,GLASAIR III,Fatal(1),1.0
49732,Genesis,Fatal(1),1.0
49734,BE-23-A24R,Non-Fatal,1.0
49771,BE-55-D55,Fatal(1),2.0
49777,SLINGSHOT,Fatal(1),1.0
49786,R-44A,Fatal(3),1.0
49789,120RT,Non-Fatal,2.0
49794,TEAM TANGO 2,Fatal(1),1.0
49797,AERO COMP-6,Non-Fatal,1.0
49813,172S,Incident,1.0
49816,MODEL 1,Non-Fatal,1.0
49819,A-340,Incident,4.0
49822,Pitts S-2B,Fatal(2),1.0
49832,L-39C,Non-Fatal,1.0
49841,BE-23,Fatal(1),1.0
49845,SA365-N1,Non-Fatal,2.0
49848,HS-125-700,Non-Fatal,2.0
49852,C46A,Fatal(2),2.0
49856,DHC-2 Mk. I,Non-Fatal,1.0
49857,EAGLE,Non-Fatal,1.0
49860,R-22B2,Non-Fatal,1.0
49861,B200,Fatal(2),2.0
49877,PA-18-135,Non-Fatal,2.0
49879,767-300ER,Non-Fatal,2.0
49886,4101,Non-Fatal,2.0
49891,MD-90-30,Incident,2.0
49897,Rotorway EXEC 152,Non-Fatal,1.0
49918,MXT-7-180A,Non-Fatal,1.0
49923,CL-600-2B19,Non-Fatal,2.0
49925,206-L3,Incident,1.0
49928,40B,Non-Fatal,1.0
49937,206H,Fatal(1),1.0
49948,65-A90,Fatal(9),2.0
49949,LJ-60,Non-Fatal,2.0
49955,PA-18-A-150,Non-Fatal,1.0
49968,172SP,Non-Fatal,1.0
49970,PA 46-350P,Non-Fatal,1.0
49971,34-200T,Non-Fatal,2.0
49977,172 F,Non-Fatal,1.0
49980,A320-232,Incident,2.0
49982,DN-1,Fatal(1),1.0
49990,L-39CT,Fatal(2),1.0
49991,F90-42,Fatal(4),2.0
50004,Kit Fox 4,Non-Fatal,1.0
50006,200,Fatal(10),2.0
50008,Discus CS,Fatal(1),0.0
50011,SE 3130 Alouette II,Non-Fatal,1.0
50013,Questair Venture,Non-Fatal,1.0
50019,CitationJET (525),Non-Fatal,2.0
50026,Dragonfly,Non-Fatal,1.0
50032,MA-5 Charger,Non-Fatal,1.0
50033,B-737-832,Non-Fatal,2.0
50038,HS.125-700A,Non-Fatal,2.0
50039,V-35A,Non-Fatal,1.0
50041,VELOCITY XLFG,Non-Fatal,1.0
50042,MD-81,Non-Fatal,2.0
50044,MK 7,Non-Fatal,1.0
50049,W-8L,Fatal(2),1.0
50051,Steen Skybolt,Fatal(2),1.0
50058,MYSTERE FALCON 900,Non-Fatal,2.0
50061,SNS-2 GUPPY,Non-Fatal,1.0
50075,SA227-AT,Fatal(2),2.0
50088,B-2B,Fatal(2),1.0
50089,R22 Beta,Non-Fatal,1.0
50096,421,Fatal(5),2.0
50113,G-202,Fatal(1),1.0
50115,PA32-R-301T,Non-Fatal,1.0
50119,36,Fatal(4),1.0
50121,Gyrobee,Non-Fatal,1.0
50123,717-231,Incident,2.0
50129,Starduster SA300,Non-Fatal,1.0
50135,V-6 STOL,Non-Fatal,1.0
50138,Rans S-7,Non-Fatal,1.0
50145,Yakolev YAK 11,Non-Fatal,1.0
50152,412SP,Fatal(1),2.0
50162,Rans S-12,Non-Fatal,1.0
50163,Rotorway Exec 162F,Non-Fatal,1.0
50165,PA-34-220T,Non-Fatal,1.0
50171,AC-5m,Non-Fatal,1.0
50173,Lancair ES,Non-Fatal,1.0
50196,HS-125-3A,Non-Fatal,2.0
50204,AT-802 A,Non-Fatal,1.0
50210,AS-350 B2 Ecureuil,Non-Fatal,1.0
50231,AS350-B2,Non-Fatal,1.0
50233,A320-200,Non-Fatal,2.0
50241,PA-28-RT201,Fatal(1),1.0
50249,SK-76A,Fatal(1),2.0
50257,Christen Eagle II,Fatal(2),1.0
50262,A-1B Husky,Non-Fatal,1.0
50267,Cartercopter,Non-Fatal,1.0
50271,TBM 700,Fatal(1),1.0
50274,95-B55B (T42A),Non-Fatal,2.0
50284,Gulfstream III,Fatal(18),2.0
50286,Midget Mustang,Non-Fatal,1.0
50292,210F,Fatal(1),1.0
50300,Variez O-235,Fatal(1),1.0
50304,Pegazair 100,Non-Fatal,1.0
50308,200A,Non-Fatal,1.0
50309,Skybolt,Fatal(1),1.0
50310,182 P,Non-Fatal,1.0
50322,F4UCorsair,Non-Fatal,1.0
50331,Aventura II,Non-Fatal,1.0
50340,CGS Hawk Plus,Non-Fatal,1.0
50341,Zenith CH 200,Fatal(2),1.0
50343,737-832,Non-Fatal,2.0
50344,Pelican,Fatal(1),1.0
50348,767-200ER,Non-Fatal,2.0
50349,PA-46-500TP,Fatal(2),1.0
50352,A-45/T-34A,Fatal(1),1.0
50353,SR20,Fatal(3),1.0
50355,Kolb Mark III,Non-Fatal,1.0
50356,EMB-135LR,Non-Fatal,2.0
50362,1731A,Non-Fatal,1.0
50368,ALB Special,Non-Fatal,1.0
50372,MX-7-180AC,Non-Fatal,1.0
50374,PT-19A,Fatal(1),1.0
50384,F35,Fatal(1),1.0
50401,Eagle II,Non-Fatal,1.0
50406,Bensen Gyrocopter,Non-Fatal,1.0
50416,Lazer Z,Non-Fatal,1.0
50424,R22 beta,Non-Fatal,1.0
50425,232,Non-Fatal,1.0
50431,Skybolt I,Non-Fatal,1.0
50435,EMB-145,Incident,2.0
50445,Gyroplane,Fatal(1),1.0
50451,Jurca MJ5 Sirocco,Non-Fatal,1.0
50455,Avid Commuter,Non-Fatal,1.0
50456,PA46-500TP,Non-Fatal,1.0
50460,BANDIT,Non-Fatal,1.0
50472,S2R-T45,Non-Fatal,1.0
50474,14-19,Fatal(1),1.0
50480,T206H,Non-Fatal,1.0
50494,AT-6 D,Non-Fatal,1.0
50497,Tiger Moth DH 82A,Non-Fatal,1.0
50510,Lancair 320,Fatal(1),1.0
50529,R44,Fatal(2),1.0
50538,Avid Magnum,Non-Fatal,1.0
50547,150 G,Fatal(1),1.0
50548,150A,Fatal(2),1.0
50556,King Air B90,Fatal(1),2.0
50563,14-13-3,Fatal(1),1.0
50565,Pietenpol Aircamper,Non-Fatal,1.0
50567,Rotorway 162F,Non-Fatal,1.0
50568,Glasair SH2F,Fatal(1),1.0
50581,D45,Fatal(2),1.0
50583,Glastar,Non-Fatal,1.0
50589,Avid Flyer,Non-Fatal,1.0
50605,PA-18-105 Special,Fatal(1),1.0
50609,Wittman Tailwind W8,Fatal(2),1.0
50613,F28 Mk 0100,Non-Fatal,2.0
50617,Lionheart,Non-Fatal,1.0
50618,KR-2S,Fatal(2),1.0
50619,Nimbus-3DM,Fatal(2),1.0
50625,SA-300 STARDUSTER,Non-Fatal,1.0
50626,Ka-6E,Fatal(1),0.0
50634,DHC-6 Twin Otter,Fatal(1),2.0
50636,Zenith CH 200,Fatal(1),1.0
50640,Lancair 4P,Non-Fatal,1.0
50641,Bird CK,Non-Fatal,1.0
50644,737-301,Non-Fatal,2.0
50645,210A,Fatal(3),1.0
50646,Tom Cat Mark 5A,Non-Fatal,1.0
50659,Nieuport 24,Non-Fatal,1.0
50672,CUBBY SPORT TRAINER,Non-Fatal,1.0
50673,SV-4,Non-Fatal,1.0
50675,R172-K,Non-Fatal,1.0
50678,188B,Fatal(2),1.0
50679,502B,Fatal(2),1.0
50689,UC-64A,Non-Fatal,1.0
50690,PA-31-T2,Fatal(5),2.0
50693,T210G,Fatal(3),1.0
50694,AT-402B,Fatal(1),1.0
50700,Sky Boy,Non-Fatal,1.0
50701,Acro Sport,Non-Fatal,1.0
50706,B757-200,Non-Fatal,2.0
50712,M-20J,Fatal(3),1.0
50718,LR-24A,Non-Fatal,2.0
50726,Micro Mong,Non-Fatal,1.0
50735,Packwood 1,Non-Fatal,1.0
50737,S60A,Non-Fatal,0.0
50739,52,Non-Fatal,1.0
50742,YAK 52,Fatal(2),1.0
50743,MU-2B-20,Fatal(2),2.0
50754,Exec 162F,Non-Fatal,1.0
50757,C90,Fatal(1),2.0
50768,7DC,Fatal(2),1.0
50771,Christen Eagle II,Non-Fatal,1.0
50773,C.A.S.A. 1.131,Non-Fatal,1.0
50779,DHC-6 Twin Otter,Non-Fatal,2.0
50780,EAA Biplane (P-2),Non-Fatal,1.0
50785,Lancair IV-P,Fatal(1),1.0
50786,Dominator,Fatal(1),1.0
50788,DH-82 Tiger Moth,Non-Fatal,1.0
50793,SR22,Non-Fatal,1.0
50798,P51,Fatal(1),1.0
50804,Murphy Rebel,Non-Fatal,1.0
50828,Mustang MII,Fatal(2),1.0
50833,Renegade Spirit,Non-Fatal,1.0
50834,PA-32R-301,Fatal(1),1.0
50836,DragonFly B,Fatal(2),1.0
50837,Nimbus 3/24.5,Non-Fatal,0.0
50839,S2R-G1,Non-Fatal,1.0
50840,KITFOX 2,Non-Fatal,1.0
50845,Aero Z-131,Fatal(1),1.0
50854,Glasair II RG,Non-Fatal,1.0
50856,P-38L-5LD,Non-Fatal,2.0
50858,14-13-3,Non-Fatal,1.0
50865,HH-43B,Non-Fatal,1.0
50867,Venture,Non-Fatal,1.0
50878,Aerosport Quail,Non-Fatal,1.0
50892,Avid Mark IV,Non-Fatal,1.0
50895,FW-190,Non-Fatal,1.0
50896,BE76,Non-Fatal,2.0
50897,Genesis,Non-Fatal,1.0
50913,Zlin 526F,Fatal(1),1.0
50915,Challenger II,Fatal(1),1.0
50930,RV-8,Non-Fatal,1.0
50935,Navion B,Non-Fatal,1.0
50940,Lancair 360,Non-Fatal,1.0
50946,Baby Lakes,Non-Fatal,1.0
50949,ARV 582,Fatal(1),1.0
50969,SK-76A,Non-Fatal,2.0
50973,S-2R-1200,Fatal(1),1.0
50979,Lancair 4,Fatal(1),1.0
50996,B-727-100,Incident,3.0
51000,MXL II Sport,Non-Fatal,1.0
51005,1933,Non-Fatal,1.0
51006,BD-5T,Fatal(1),1.0
51008,S10-VT,Non-Fatal,1.0
51009,Mohawk 1,Fatal(1),1.0
51015,M-5-235C,Fatal(4),1.0
51023,G 103 Twin II,Non-Fatal,0.0
51025,DA 20C-1,Non-Fatal,1.0
51026,Turbulent D-31,Non-Fatal,1.0
51030,95-B55 (T42A),Non-Fatal,2.0
51038,58-TC,Fatal(3),2.0
51045,M-20R,Fatal(1),1.0
51049,BK117-C1,Non-Fatal,2.0
51054,VERI EZE,Fatal(2),1.0
51055,Smith Mini DSA-1,Non-Fatal,1.0
51057,PC-6/B2-H4,Non-Fatal,1.0
51061,Velocity,Non-Fatal,1.0
51067,Revelation,Non-Fatal,1.0
51069,ASW-20C,Non-Fatal,0.0
51073,BE-35-F35,Fatal(1),1.0
51076,Kelly-D,Fatal(2),1.0
51078,BE-36,Non-Fatal,1.0
51082,182T,Non-Fatal,1.0
51085,DRIFTER ARV 582,Non-Fatal,1.0
51091,Lancair IV-P,Non-Fatal,1.0
51095,Searey Amphibian,Non-Fatal,1.0
51096,T-10,Non-Fatal,1.0
51097,FIIC-2 Goshawk,Fatal(1),1.0
51098,H500D,Non-Fatal,1.0
51103,Kolb Sling Shot,Fatal(1),1.0
51104,Giles G-202,Fatal(1),1.0
51105,Mark III,Non-Fatal,1.0
51106,Stearman PT-17,Fatal(2),1.0
51113,520N,Incident,1.0
51114,A330,Incident,2.0
51117,Steen Skybolt,Non-Fatal,1.0
51126,Stoddard HamiltonSH3,Fatal(1),1.0
51128,Teenie Two,Non-Fatal,1.0
51130,Lancair 320,Non-Fatal,1.0
51133,Lancair 360,Incident,1.0
51134,727-2Q6,Incident,3.0
51135,AT-401,Incident,1.0
51144,Barnett J4B,Fatal(1),1.0
51145,PA-46-350,Fatal(1),1.0
51147,S-65-CA,Fatal(2),1.0
51150,Fokker F1,Non-Fatal,1.0
51163,Glastar,Fatal(1),1.0
51173,Skybolt,Non-Fatal,1.0
51181,Europa Monowheel,Non-Fatal,1.0
51191,Casutt Sport Racer,Non-Fatal,1.0
51193,V-35A,Fatal(1),1.0
51197,Spencer Amphib 1-12E,Non-Fatal,1.0
51200,Rotorway EXEC 162F,Non-Fatal,1.0
51204,Moffra P-13,Non-Fatal,1.0
51207,Rans S-12,Incident,1.0
51212,Pitts S2,Non-Fatal,1.0
51224,Dash 8-100,Fatal(1),2.0
51249,717-200,Non-Fatal,2.0
51257,FP-404,Non-Fatal,1.0
51259,AS350-B2,Fatal(6),1.0
51260,Acroduster I,Non-Fatal,1.0
51263,Kitfox,Fatal(2),1.0
51269,532 Commander,Non-Fatal,1.0
51271,S61A,Non-Fatal,1.0
51277,AS350 B-2,Non-Fatal,1.0
51286,SZD-55-1,Fatal(1),0.0
51294,SC-1,Non-Fatal,1.0
51300,M-18 Dromader,Non-Fatal,1.0
51306,Stitts SA6B,Non-Fatal,1.0
51312,172-A,Non-Fatal,1.0
51315,LANCAIR 360,Fatal(2),1.0
51317,AS 355F1,Non-Fatal,2.0
51321,Avid Bandit,Non-Fatal,1.0
51324,Blanik L-13,Non-Fatal,0.0
51325,SR-22,Non-Fatal,1.0
51326,J-4A,Fatal(1),1.0
51331,F33C,Non-Fatal,1.0
51339,Quickie Q2,Non-Fatal,1.0
51354,L-17B,Fatal(1),1.0
51357,A-1,Fatal(2),1.0
51361,BE-200,Fatal(1),2.0
51367,Super Quickie 2,Non-Fatal,1.0
51371,X-Aircamper,Non-Fatal,1.0
51377,172SP,Fatal(2),1.0
51383,Hawker Hurricane,Fatal(1),1.0
51385,TS-2A,Fatal(2),2.0
51387,Sky Raider II,Fatal(1),1.0
51392,Fan Jet Falcon,Non-Fatal,2.0
51395,Kitfox Model II,Non-Fatal,1.0
51401,C-7A,Non-Fatal,2.0
51403,Kitfox Classic,Fatal(1),1.0
51409,ERJ-135ER,Non-Fatal,2.0
51411,C,Non-Fatal,1.0
51416,KV-107-II,Fatal(3),2.0
51419,Air Command 582 Dual,Non-Fatal,1.0
51421,KE-1-A,Non-Fatal,1.0
51427,DHC-94 Moth Minor,Non-Fatal,1.0
51434,Firefly 8B-15,Non-Fatal,0.0
51435,Mini Max 1500R,Non-Fatal,1.0
51438,Aircamper,Non-Fatal,1.0
51448,777-236,Fatal(1),2.0
51458,P51-D,Non-Fatal,1.0
51478,AS 350 BA,Non-Fatal,1.0
51485,767-200ER,Fatal(65),2.0
51486,767-200ER,Fatal(92),2.0
51489,T-210F,Fatal(1),1.0
51498,SR-20,Non-Fatal,1.0
51510,AS350BA,Fatal(1),1.0
51513,Starduster Too,Non-Fatal,1.0
51515,PA-34-200T,Non-Fatal,1.0
51522,HH-43,Fatal(1),1.0
51529,C-2,Non-Fatal,1.0
51540,STORCH SS-MK4,Non-Fatal,1.0
51541,PZL M18B,Fatal(1),1.0
51545,Preceptor-Ultra,Non-Fatal,1.0
51548,N-77,Non-Fatal,0.0
51550,414 Riley Super-8,Fatal(3),2.0
51551,70,Non-Fatal,2.0
51554,33,Non-Fatal,0.0
51559,402,Non-Fatal,1.0
51564,T Bird II,Non-Fatal,1.0
51566,Woodstock I,Non-Fatal,0.0
51568,Blanik L 33 Solo,Non-Fatal,0.0
51574,CGS Hawk A,Non-Fatal,1.0
51579,One Design,Non-Fatal,1.0
51586,105,Non-Fatal,0.0
51587,Bushby Mustang II,Non-Fatal,1.0
51592,Lazer,Non-Fatal,1.0
51593,7AC/BCM,Fatal(1),1.0
51600,Kitfox IV,Non-Fatal,1.0
51602,737-700,Incident,2.0
51603,540,Fatal(1),1.0
51604,S81A,Non-Fatal,0.0
51606,208,Fatal(10),1.0
51610,BE-55-T42A,Non-Fatal,2.0
51619,ATR 42-320,Non-Fatal,2.0
51622,Raven S57-A,Non-Fatal,0.0
51623,RXS-8,Non-Fatal,0.0
51629,145LR,Non-Fatal,2.0
51631,120ER,Non-Fatal,2.0
51640,Thorp T-18,Fatal(1),1.0
51643,AS350B2,Fatal(2),1.0
51646,SA-60A,Non-Fatal,0.0
51652,A-105,Non-Fatal,0.0
51657,Jodel D-9,Fatal(1),1.0
51660,Starduster SA-100,Fatal(1),1.0
51664,600N,Incident,1.0
51668,PC-12,Non-Fatal,1.0
51682,Thorp T-18,Non-Fatal,1.0
51684,Harmon Rocket II,Non-Fatal,1.0
51694,S-6,Fatal(2),1.0
51695,A-210,Non-Fatal,0.0
51700,R22 Beta II,Non-Fatal,1.0
51702,Titan Tornado II,Fatal(2),1.0
51711,Hatz CB-1,Non-Fatal,1.0
51714,A319-132,Incident,2.0
51715,M7-260,Non-Fatal,1.0
51719,Vans RV 3-A,Non-Fatal,1.0
51721,Moni,Fatal(1),1.0
51723,175C,Fatal(1),1.0
51740,Pitts S-1S,Fatal(1),1.0
51744,Aerostar 601,Non-Fatal,2.0
51750,A119,Non-Fatal,1.0
51753,Zenith 801,Non-Fatal,1.0
51758,Starduster Too SA300,Non-Fatal,1.0
51759,T-Bird II,Fatal(1),1.0
51761,EA300/L,Non-Fatal,1.0
51767,Acro Sport II,Non-Fatal,1.0
51768,PA-31T1,Fatal(4),2.0
51769,A300B4-605R,Fatal(265),2.0
51777,BO 105 LS,Non-Fatal,2.0
51784,CH2000,Fatal(2),1.0
51787,BE-50,Non-Fatal,2.0
51799,Horizon 1,Non-Fatal,1.0
51800,Rans S-10,Fatal(1),1.0
51812,500S,Fatal(5),2.0
51813,BE-35C,Non-Fatal,1.0
51817,M-20-20,Fatal(2),1.0
51823,PIK 20D,Non-Fatal,0.0
51855,KR-2S,Non-Fatal,1.0
51859,206 B-2,Non-Fatal,1.0
51862,Mustang II,Non-Fatal,1.0
51863,BE-55-T42A,Fatal(1),2.0
51865,Baby Ace,Non-Fatal,1.0
51866,Lancair 235,Non-Fatal,1.0
51869,340-580STC,Non-Fatal,2.0
51870,A 26 Vulcan SS,Fatal(1),2.0
51871,G102 Club Astir IIIB,Non-Fatal,0.0
51873,BE-90-E90,Non-Fatal,2.0
51878,SB2C-5,Non-Fatal,1.0
51884,Falcon 100,Non-Fatal,2.0
51885,Zic Zac Bird,Fatal(1),1.0
51886,T210-M,Fatal(2),1.0
51891,24D,Fatal(2),2.0
51896,Navion A,Non-Fatal,1.0
51900,R44,Fatal(1),1.0
51901,BE-55,Fatal(3),2.0
51910,ASW-24E,Non-Fatal,1.0
51912,Sonerai IIL,Non-Fatal,1.0
51921,Z-90,Non-Fatal,0.0
51926,BE-1900D,Non-Fatal,2.0
51942,369E,Fatal(3),1.0
51943,Smyth Sidewinder,Fatal(2),1.0
51944,747-128,Non-Fatal,4.0
51949,85,Non-Fatal,1.0
51952,C-210N,Fatal(1),1.0
51957,BE-23-B24R,Fatal(1),1.0
51958,L-23,Non-Fatal,0.0
51965,747-228F,Incident,4.0
51971,T337H,Fatal(1),2.0
51986,Vans RV6,Non-Fatal,1.0
51987,PA-46T,Non-Fatal,1.0
51988,Longbow 150,Fatal(1),1.0
51991,MD 902,Non-Fatal,2.0
51995,Avid Flyer,Fatal(1),1.0
51996,CUBY SPORT,Non-Fatal,1.0
52005,108-M,Non-Fatal,1.0
52026,BK-117 A-3,Fatal(2),2.0
52040,Choctaw,Fatal(1),1.0
52049,DC-9-41,Non-Fatal,2.0
52051,Aerostar 601P,Fatal(2),2.0
52052,A-340-300,Incident,4.0
52055,Vortex,Fatal(1),1.0
52058,N-145,Fatal(1),0.0
52065,Jodel F-12,Fatal(1),1.0
52072,727-134,Fatal(92),3.0
52074,XL-RG Velocity,Fatal(2),1.0
52075,Aerostar 601P,Fatal(1),2.0
52079,Tornado II,Fatal(1),1.0
52081,BN2A-26,Non-Fatal,2.0
52084,Ultra Pup,Non-Fatal,1.0
52085,Pitts S-2B,Non-Fatal,1.0
52086,T-34B/D-45,Non-Fatal,1.0
52097,525A,Non-Fatal,2.0
52099,AS350-B,Non-Fatal,1.0
52105,2T-1A-1,Non-Fatal,1.0
52107,Talon,Fatal(1),1.0
52111,TR182,Fatal(4),1.0
52119,PA -18,Non-Fatal,1.0
52121,Glasair I TD,Fatal(2),1.0
52127,G-V,Non-Fatal,2.0
52128,Classic IV,Non-Fatal,1.0
52152,737-724,Non-Fatal,2.0
52159,T28C,Non-Fatal,1.0
52165,Mini-500,Non-Fatal,1.0
52181,Rotorway Exec 90,Non-Fatal,1.0
52188,Floatmaster,Non-Fatal,1.0
52193,AT-502B,Fatal(1),1.0
52197,DHC-8-401,Incident,2.0
52206,BE-60,Fatal(1),2.0
52212,BE-55,Incident,2.0
52213,Velocity 173RG,Non-Fatal,1.0
52219,F-28 MK-100,Non-Fatal,2.0
52228,P46T,Non-Fatal,1.0
52231,AS355 F1,Fatal(2),1.0
52232,M-Breezy,Fatal(1),1.0
52233,Kitfox Lite Squared,Non-Fatal,1.0
52239,Kitfox III,Non-Fatal,1.0
52243,Long EZ,Non-Fatal,1.0
52256,PA32R-300,Fatal(1),1.0
52260,M-7-260,Non-Fatal,1.0
52264,UV-20A,Fatal(1),1.0
52267,Fisher FP-202,Non-Fatal,1.0
52269,Magnum IX,Non-Fatal,0.0
52271,GYRO-KOPP-TER,Fatal(1),1.0
52287,P-47N-20-RE,Non-Fatal,1.0
52296,206L-4,Fatal(1),1.0
52305,340,Fatal(4),2.0
52306,KitFox,Non-Fatal,1.0
52313,EMB-145LR,Incident,2.0
52314,S-61A,Fatal(1),2.0
52321,S-307,Non-Fatal,4.0
52328,AS315B,Non-Fatal,1.0
52338,J3F-65,Fatal(2),1.0
52339,Flybaby,Non-Fatal,1.0
52347,Exec 165F,Non-Fatal,1.0
52349,T-6-AT6D,Fatal(2),1.0
52355,Thornley 2000,Non-Fatal,1.0
52362,Pelican Club PL,Non-Fatal,1.0
52377,Monnett Moni,Fatal(1),1.0
52378,Magnum,Non-Fatal,1.0
52381,EA-300L,Non-Fatal,1.0
52389,Starduster SA-1,Non-Fatal,1.0
52391,500-S,Incident,2.0
52392,E35,Fatal(1),1.0
52393,SA319B Alouette III,Non-Fatal,1.0
52395,Pietenpol Aircamper,Fatal(2),1.0
