,Model,Injury.Severity,Number.of.Engines
881,MINIPLANE DSA-1,Fatal(1),1.0
884,SV4B,Non-Fatal,1.0
885,PA-31-350,Fatal(3),2.0
887,S-35,Non-Fatal,1.0
888,411,Fatal(5),2.0
889,RX-6,Non-Fatal,0.0
890,BE-99,Incident,2.0
891,PT-19,Non-Fatal,1.0
894,DH-82A,Non-Fatal,1.0
895,VP-1,Non-Fatal,1.0
900,C23-180,Non-Fatal,1.0
901,727-200,Non-Fatal,3.0
902,177RG,Fatal(2),1.0
905,500C,Non-Fatal,1.0
906,NA-265-65,Incident,2.0
907,152,Incident,1.0
909,150K,Non-Fatal,1.0
912,MU-2B-30,Fatal(6),2.0
914,M-4,Non-Fatal,1.0
915,A150M,Non-Fatal,1.0
916,B95,Fatal(1),2.0
917,A36TC,Fatal(3),1.0
919,S-1C,Non-Fatal,1.0
920,H-19A,Non-Fatal,1.0
922,269A,Non-Fatal,1.0
923,320A,Non-Fatal,2.0
924,201B,Non-Fatal,1.0
925,PA-38-112,Fatal(1),1.0
926,212,Fatal(2),2.0
927,172D,Non-Fatal,1.0
929,J5A,Non-Fatal,1.0
930,A-M-1,Non-Fatal,1.0
931,PA-18-180,Non-Fatal,1.0
936,G-164,Fatal(1),1.0
937,M20K,Fatal(4),1.0
939,S-2A,Non-Fatal,1.0
940,SNJ-2,Non-Fatal,1.0
942,A60,Non-Fatal,2.0
944,PA-18-150,Non-Fatal,1.0
948,23,Fatal(1),1.0
950,AS350,Fatal(1),1.0
951,SKYHAWK,Non-Fatal,0.0
953,201A,Non-Fatal,1.0
958,BE-23,Non-Fatal,1.0
959,KR-II,Non-Fatal,1.0
960,SPORT DAL-1,Fatal(1),1.0
961,206L,Non-Fatal,1.0
962,8F,Non-Fatal,1.0
963,ASW-19,Non-Fatal,0.0
964,KR-1 CATFISH,Non-Fatal,1.0
965,D52,Fatal(2),1.0
968,MUSTANG II,Non-Fatal,1.0
971,300A,Non-Fatal,1.0
973,J3C-65,Non-Fatal,1.0
979,172E,Non-Fatal,1.0
982,8KCAB,Fatal(1),1.0
983,206A,Non-Fatal,1.0
984,PA-44-180,Non-Fatal,2.0
985,AS-350D,Non-Fatal,1.0
986,280-C,Non-Fatal,1.0
988,BO-105C,Fatal(4),2.0
989,A75,Fatal(1),1.0
990,B23,Fatal(2),1.0
992,47G-3B,Fatal(1),1.0
994,PA-23-250T,Non-Fatal,2.0
996,440A,Fatal(1),1.0
997,369D (500D),Non-Fatal,1.0
998,411A,Fatal(1),2.0
