,Make,Injury.Severity,Number.of.Engines,Engine.Type
1471,Aeronca,Fatal(2),1.0,Reciprocating
1484,Fokker,Non-Fatal,1.0,Reciprocating
1489,Cessna,Non-Fatal,2.0,Turbo Fan
1493,Grumman,Incident,2.0,Turbo Prop
1505,Scheicher,Non-Fatal,0.0,Unknown
1511,Bensen,Non-Fatal,1.0,Reciprocating
1512,Wing,Fatal(2),2.0,Reciprocating
1519,Gregg,Non-Fatal,1.0,Reciprocating
1521,Learjet,Non-Fatal,2.0,Turbo Jet
1522,Bell,Non-Fatal,1.0,Turbo Prop
1532,Mcclary,Fatal(1),1.0,Reciprocating
1538,Midget,Non-Fatal,1.0,Reciprocating
1543,Na,Non-Fatal,1.0,Reciprocating
1547,I.c.a. Brasov - Romania,Non-Fatal,0.0,Unknown
1566,Bell,Fatal(1),1.0,Reciprocating
1572,Continental,Non-Fatal,1.0,Reciprocating
1582,Bell,Non-Fatal,1.0,Unknown
1587,Southern Airmotive Corp Sac,Non-Fatal,1.0,Reciprocating
1616,Barrett,Non-Fatal,1.0,Reciprocating
1637,Varieze,Fatal(1),1.0,Reciprocating
1638,Mooney,Incident,1.0,Reciprocating
1639,Cameron Ballon,Non-Fatal,0.0,Unknown
1640,I.c.a. Brasov,Non-Fatal,0.0,Unknown
1647,Peter Clark,Non-Fatal,1.0,Reciprocating
1651,Aero Commander,Fatal(1),1.0,Reciprocating
1654,Ryan,Fatal(1),1.0,Reciprocating
1668,Davis,Fatal(1),1.0,Reciprocating
1681,Aerospatiale,Fatal(3),1.0,Turbo Shaft
1682,Bellance,Non-Fatal,1.0,Reciprocating
1689,S.n.i.a.s.,Non-Fatal,2.0,Turbo Shaft
1691,Beech,Fatal(6),1.0,Reciprocating
1697,Rockwell International,Non-Fatal,1.0,Reciprocating
1708,Aeronca,Fatal(3),1.0,Reciprocating
1725,Downer Aircraft Industries,Non-Fatal,1.0,Reciprocating
1732,Pterodactyl,Fatal(1),1.0,Reciprocating
1739,Ryan Aeronautics,Non-Fatal,1.0,Reciprocating
1751,Grumman American,Fatal(1),1.0,Reciprocating
1764,Cessna,Non-Fatal,2.0,Turbo Prop
1766,Air Tractor,Fatal(1),1.0,Reciprocating
1776,Clancy,Non-Fatal,1.0,Reciprocating
1781,Quickie,Fatal(1),1.0,Reciprocating
1784,Maule,Fatal(2),1.0,Reciprocating
1795,Bell-cont 42g,Non-Fatal,1.0,Reciprocating
1796,Britten-norman,Non-Fatal,2.0,Reciprocating
1797,Pitts,Fatal(1),1.0,Reciprocating
1798,Bell,Incident,1.0,Reciprocating
1810,Waco,Non-Fatal,1.0,Reciprocating
1819,Goans,Fatal(1),1.0,Reciprocating
1827,Glassflugel,Non-Fatal,0.0,Unknown
1828,Pietenpol,Non-Fatal,1.0,Reciprocating
1835,Grumman American,Non-Fatal,1.0,Reciprocating
1843,Gulfstream,Non-Fatal,1.0,Reciprocating
1850,Miller,Fatal(1),1.0,Reciprocating
1857,Aeronca Champion,Non-Fatal,1.0,Reciprocating
1869,Coot,Non-Fatal,1.0,Reciprocating
1871,Boeing,Fatal(153),3.0,Turbo Fan
1872,Breezy,Non-Fatal,1.0,Reciprocating
1888,Junior Ace,Non-Fatal,1.0,Reciprocating
1902,Globe,Non-Fatal,1.0,Reciprocating
1906,Lark (i.c.a.),Non-Fatal,0.0,Unknown
1907,Gulfstream American,Fatal(1),1.0,Reciprocating
1926,Republic,Non-Fatal,1.0,Reciprocating
1930,Rockwell Int't,Non-Fatal,1.0,Reciprocating
1969,Mcdonnell Douglas,Non-Fatal,3.0,Turbo Fan
1987,Mong,Non-Fatal,1.0,Reciprocating
1994,American,Non-Fatal,1.0,Reciprocating
2026,Firefly,Non-Fatal,0.0,Unknown
2031,Evans Aircraft,Fatal(1),1.0,Reciprocating
2033,Texas Helicopter Corp.,Non-Fatal,1.0,Reciprocating
2035,Thorp,Non-Fatal,1.0,Reciprocating
2041,"Rotorway Aircraft, Inc.",Fatal(1),1.0,Reciprocating
2054,Omac,Non-Fatal,1.0,Turbo Jet
2057,Bucker Jungmann,Non-Fatal,1.0,Reciprocating
2068,Steen,Non-Fatal,1.0,Reciprocating
2071,Alon,Non-Fatal,1.0,Reciprocating
2083,Austin,Non-Fatal,1.0,Reciprocating
2088,Morrisey,Non-Fatal,1.0,Reciprocating
2090,Eipper Mx Ii Quicksilver,Non-Fatal,1.0,Reciprocating
2104,Hallquist,Non-Fatal,1.0,Reciprocating
2113,Beechcraft,Non-Fatal,2.0,Reciprocating
2115,Aeronca Champ,Non-Fatal,1.0,Reciprocating
2131,Q-berry,Non-Fatal,1.0,Reciprocating
2133,Robertson,Fatal(12),2.0,Reciprocating
2134,Varieze,Fatal(2),1.0,Reciprocating
2135,Hughes,Fatal(1),1.0,Turbo Shaft
2139,Oar,Non-Fatal,1.0,Reciprocating
2141,Siai Marchetti,Non-Fatal,1.0,Reciprocating
2149,Lake,Fatal(1),1.0,Reciprocating
2163,Enstrom,Fatal(1),1.0,Reciprocating
2168,Aerospatiale,Incident,1.0,Turbo Shaft
2170,Thorp,Fatal(2),1.0,Reciprocating
2198,Great Lakes,Fatal(1),1.0,Reciprocating
2223,Corben,Fatal(3),1.0,Reciprocating
2224,Starduster,Fatal(3),1.0,Reciprocating
2230,Sonerai,Non-Fatal,1.0,Reciprocating
2238,Bell Helicopter Textron,Non-Fatal,1.0,Reciprocating
2252,Mitsubishi,Incident,2.0,Turbo Prop
2254,Boeing,Incident,2.0,Turbo Fan
2259,Boeing Stearman,Non-Fatal,1.0,Reciprocating
2289,Eiriavion Oy,Fatal(1),0.0,Unknown
2314,Condor,Non-Fatal,1.0,Reciprocating
2322,De Havilland,Non-Fatal,4.0,Reciprocating
