,Make,Injury.Severity,Number.of.Engines,Engine.Type
61146,Aero Commander,Fatal(3),2.0,Turbo Prop
61151,De Havilland,Fatal(6),2.0,Turbo Prop
61156,American Legend,Fatal(1),1.0,Reciprocating
61157,Vans Aircraft,Fatal(1),1.0,Reciprocating
61161,Burleigh,Fatal(1),1.0,Reciprocating
61162,American Champion,Fatal(2),1.0,Reciprocating
61167,Liberty,Non-Fatal,1.0,Reciprocating
61172,Md Helicopter Inc.,Non-Fatal,1.0,Turbo Shaft
61178,Mcwhorter,Fatal(1),1.0,Reciprocating
61184,Aviation International Rotors,Fatal(2),2.0,Turbo Shaft
61190,Manarin/johnson,Non-Fatal,1.0,Reciprocating
61191,Spittler,Non-Fatal,1.0,Reciprocating
61194,Bussey,Fatal(1),1.0,Reciprocating
61196,Piggott,Non-Fatal,1.0,Reciprocating
61205,Pearson,Non-Fatal,1.0,Reciprocating
61208,Veltman,Non-Fatal,1.0,Reciprocating
61218,Seales,Non-Fatal,1.0,Reciprocating
61239,Dix,Fatal(1),1.0,Reciprocating
61243,Sicheneder,Non-Fatal,1.0,Reciprocating
61252,Hoyt,Non-Fatal,1.0,Reciprocating
61261,Scheibe,Fatal(1),1.0,Reciprocating
61263,Schifferer,Fatal(1),1.0,Reciprocating
61267,Burkhart Grob Flugzeugbau,Non-Fatal,1.0,Reciprocating
61272,Saloff,Fatal(1),1.0,Reciprocating
61277,Butterhof,Non-Fatal,1.0,Reciprocating
61278,Beach Baby Ace,Non-Fatal,1.0,Reciprocating
61280,Mcdonnell Douglas Helicopters,Non-Fatal,1.0,Turbo Shaft
61284,Stallings,Fatal(2),1.0,Reciprocating
61292,Cirrus Design Corp,Non-Fatal,1.0,Reciprocating
61295,Kinnson,Non-Fatal,1.0,Turbo Prop
61303,Frick,Fatal(1),1.0,Reciprocating
61306,Baker,Fatal(1),1.0,Reciprocating
61314,Scheibe Flugzeugbau,Fatal(1),1.0,Reciprocating
61315,Sikorsky,Non-Fatal,2.0,Reciprocating
61318,Curtiss-wright,Fatal(1),1.0,Reciprocating
61320,Terry Tevis,Fatal(2),1.0,Reciprocating
61323,Frisby,Non-Fatal,1.0,Reciprocating
61324,"Bombardier, Inc.",Fatal(49),2.0,Turbo Fan
61331,Ron Burleigh,Non-Fatal,2.0,Reciprocating
61333,Cirrus,Fatal(1),1.0,Reciprocating
61356,Hedeman,Non-Fatal,1.0,Reciprocating
61358,Brown Floyd L,Non-Fatal,1.0,Reciprocating
61359,Mcnabb,Non-Fatal,1.0,Reciprocating
61364,Noakes B J,Non-Fatal,1.0,Reciprocating
61366,Straw,Non-Fatal,1.0,Reciprocating
61369,Ageton,Non-Fatal,1.0,Reciprocating
61376,North American,Fatal(2),2.0,Turbo Prop
61392,Garner,Fatal(1),1.0,Reciprocating
61400,Endless Skies Aviation Inc.,Non-Fatal,1.0,Reciprocating
61418,Grumman American Avn. Corp.,Non-Fatal,1.0,Reciprocating
61421,Cirrus Design Corp,Fatal(2),1.0,Reciprocating
61423,Amorde,Non-Fatal,1.0,Reciprocating
61424,Md Helicopters Inc.,Non-Fatal,1.0,Turbo Shaft
61426,Boeing,Non-Fatal,1.0,Turbo Fan
61442,Shimer,Fatal(1),1.0,Reciprocating
61445,Air Trikes,Fatal(2),1.0,Reciprocating
61457,Windler,Fatal(1),1.0,Reciprocating
61465,Cleberg,Non-Fatal,1.0,Reciprocating
61475,Coltrin,Non-Fatal,1.0,Reciprocating
61478,Weber,Fatal(1),1.0,Reciprocating
61480,Daub,Non-Fatal,1.0,Unknown
61493,Oneil,Non-Fatal,1.0,Reciprocating
61494,Erickson,Non-Fatal,2.0,Turbo Shaft
61501,Extra Flugzeugbau Gmbh,Fatal(1),1.0,Reciprocating
61509,Hatcher,Non-Fatal,1.0,Reciprocating
61514,Ulfeldt,Fatal(2),1.0,Reciprocating
61517,Cutler,Non-Fatal,1.0,Reciprocating
61527,Hadwise,Non-Fatal,1.0,Reciprocating
61537,Steinbaum,Non-Fatal,1.0,Reciprocating
61542,Olree Robert,Non-Fatal,1.0,Reciprocating
61548,Sorensen,Non-Fatal,1.0,Reciprocating
61551,Harry D. Miller,Non-Fatal,1.0,Reciprocating
61554,Mccullough,Non-Fatal,1.0,Reciprocating
61555,Finney Thorp,Non-Fatal,1.0,Reciprocating
61560,Gulfstream,Incident,2.0,Turbo Jet
61562,Lawing Thomas R,Non-Fatal,1.0,Reciprocating
61564,Flynn William,Fatal(1),1.0,Reciprocating
61584,Codding/fluno,Non-Fatal,1.0,Reciprocating
61586,Mike Smilee,Fatal(2),1.0,Reciprocating
61593,Bishop,Fatal(1),1.0,Reciprocating
61595,Wilson Quicksilver,Fatal(2),1.0,Reciprocating
61610,Cirrus,Fatal(4),1.0,Reciprocating
61624,Moyes,Fatal(1),1.0,Reciprocating
61636,Jahns,Non-Fatal,1.0,Reciprocating
61638,"Bombardier, Inc.",Non-Fatal,2.0,Turbo Jet
61642,Air Creations,Fatal(2),1.0,Reciprocating
61645,Olson,Fatal(2),1.0,Reciprocating
61649,Aircraft Mfg & Dev. Co. (amd),Fatal(2),1.0,Reciprocating
61652,Monard,Fatal(1),1.0,Reciprocating
61659,Carlson,Fatal(1),1.0,Turbo Prop
61663,Great Lakes Aircraft Company,Non-Fatal,1.0,Reciprocating
61667,Eurocopter Deutschland,Incident,2.0,Turbo Shaft
61672,Utva,Non-Fatal,1.0,Reciprocating
61677,Vogel,Fatal(1),1.0,Reciprocating
61680,Czech Aircraft Works,Fatal(1),1.0,Reciprocating
61683,Winter J.t/johnson,Non-Fatal,1.0,Reciprocating
61685,Eiben Theodore,Non-Fatal,1.0,Reciprocating
61693,Kolb,Fatal(2),1.0,Reciprocating
61696,Jerald F. Huffman,Non-Fatal,1.0,Reciprocating
61710,Stump,Non-Fatal,1.0,Reciprocating
61712,Sargent Jonathan,Non-Fatal,1.0,Reciprocating
61713,Holmgreen,Non-Fatal,1.0,Reciprocating
61715,Piper,Incident,1.0,Turbo Prop
61725,Baggett,Non-Fatal,1.0,Reciprocating
61731,Hudspeth Shawn D,Non-Fatal,1.0,Reciprocating
61742,Keesler,Fatal(2),1.0,Reciprocating
61745,Tennyson Howard,Non-Fatal,1.0,Reciprocating
61758,Yoakley,Fatal(1),1.0,Reciprocating
61765,Riley,Non-Fatal,2.0,Reciprocating
61769,Noble,Fatal(2),1.0,Reciprocating
61770,Stits Flut-r-bug,Non-Fatal,1.0,Reciprocating
61771,Holloway,Fatal(2),1.0,Reciprocating
61776,107.5 Flying Corporation,Fatal(1),1.0,Reciprocating
61789,Fairchild,Non-Fatal,1.0,Turbo Prop
61795,John Lauer,Fatal(2),1.0,Reciprocating
61797,Higher Class Aviation,Non-Fatal,1.0,Reciprocating
61799,Ridgway,Non-Fatal,1.0,Reciprocating
61803,Fagan,Fatal(2),1.0,Reciprocating
61810,Extra Flugzeugbau Gmbh,Non-Fatal,1.0,Reciprocating
61811,Gulfstream American Corp,Incident,2.0,Turbo Prop
61815,Lingwall,Non-Fatal,1.0,Reciprocating
61822,Richard F. Sheldon,Non-Fatal,1.0,Reciprocating
61829,Saab,Incident,2.0,Turbo Shaft
61834,Scharnhorst,Non-Fatal,1.0,Reciprocating
61842,Cavalier Aircraft Corp.,Non-Fatal,1.0,Reciprocating
61843,Clopton Aero Llc,Non-Fatal,1.0,Turbo Prop
61847,Piper,Fatal(4),1.0,Turbo Prop
61854,Belcher,Non-Fatal,1.0,Turbo Shaft
61856,"Morgan, Marvin R.",Non-Fatal,1.0,Reciprocating
61863,Rockwell International,Fatal(2),1.0,Reciprocating
61877,Averyt,Non-Fatal,1.0,Reciprocating
61880,Tessier,Fatal(1),1.0,Reciprocating
61892,Mino,Non-Fatal,1.0,Reciprocating
61899,Fairchild Merlin,Non-Fatal,2.0,Turbo Prop
61900,Cesna,Fatal(3),1.0,Reciprocating
61902,Marino,Non-Fatal,1.0,Reciprocating
61923,Raytheon,Incident,2.0,Turbo Prop
61926,Barron,Non-Fatal,1.0,Reciprocating
61945,Jim Garrison,Non-Fatal,1.0,Reciprocating
61947,Partenavia,Fatal(2),2.0,Reciprocating
61948,Piaggio Industrie,Non-Fatal,2.0,Turbo Prop
61957,Foley James,Non-Fatal,1.0,Reciprocating
61959,Bell Helicopter,Non-Fatal,1.0,Turbo Shaft
61960,"Quad City Ultralight, Llc",Non-Fatal,1.0,Reciprocating
61961,Dassault,Incident,3.0,Turbo Fan
61962,Reisinger,Non-Fatal,1.0,Reciprocating
61971,"Greenhaw, William",Non-Fatal,1.0,Reciprocating
61982,Airborne Windsports Ltd,Non-Fatal,1.0,Reciprocating
61983,Jihlavan,Non-Fatal,1.0,Reciprocating
61985,Tanker,Non-Fatal,1.0,Reciprocating
61991,Cirrus Design,Non-Fatal,1.0,Reciprocating
61997,Martin/harris,Non-Fatal,1.0,Reciprocating
62009,Hallburg,Fatal(2),1.0,Reciprocating
62012,C.w Crane,Non-Fatal,1.0,Reciprocating
62024,Beech,Fatal(3),2.0,Turbo Shaft
62035,Mooney Aircraft Corp.,Non-Fatal,1.0,Reciprocating
62040,Wampole,Fatal(1),1.0,Reciprocating
62041,Fortuna,Non-Fatal,1.0,Reciprocating
62053,Burkhart-grob,Non-Fatal,1.0,Reciprocating
62057,Columbia Aircraft,Incident,1.0,Reciprocating
62065,Peay,Non-Fatal,1.0,Reciprocating
62068,American Legend,Non-Fatal,1.0,Reciprocating
62075,"Van's Aircraft, Inc",Non-Fatal,1.0,Reciprocating
62080,Barnhart,Non-Fatal,1.0,Reciprocating
62084,"Liberty Aerospace, Inc.",Incident,1.0,Reciprocating
62085,Buckeye,Non-Fatal,1.0,Reciprocating
62094,Rotary Air Force Marketing,Non-Fatal,1.0,Reciprocating
62097,Scherer,Non-Fatal,1.0,Reciprocating
62099,Mark Gibson,Non-Fatal,1.0,Reciprocating
62100,Hiller,Fatal(2),1.0,Reciprocating
62123,Ogden Aubrey D,Non-Fatal,1.0,Reciprocating
62126,Mallian,Fatal(1),1.0,Reciprocating
62129,Wood,Fatal(1),1.0,Reciprocating
62146,Camair,Fatal(1),2.0,Reciprocating
62149,Eads Pzl Warsza,Non-Fatal,1.0,Reciprocating
62154,Found Aircraft Canada,Non-Fatal,1.0,Reciprocating
62157,Flight Design Usa,Non-Fatal,1.0,Reciprocating
62158,Polcyn,Non-Fatal,1.0,Reciprocating
62179,Pietsch,Non-Fatal,1.0,Reciprocating
62185,Caywood,Non-Fatal,1.0,Reciprocating
62191,Aero Vodochody Aero. Works,Fatal(1),1.0,Turbo Jet
62194,Haddan,Non-Fatal,1.0,Reciprocating
62199,Jimenez Reymundo,Non-Fatal,1.0,Reciprocating
62201,James Walter,Fatal(1),1.0,Reciprocating
62203,Mooney Aircraft,Non-Fatal,1.0,Reciprocating
62206,Bruce E. Hotz,Non-Fatal,1.0,Reciprocating
62224,Duffy/wagner,Non-Fatal,1.0,Reciprocating
62228,Harrison Robert J.,Non-Fatal,1.0,Reciprocating
62234,Boykin,Non-Fatal,1.0,Reciprocating
62254,Randy Stanley,Non-Fatal,1.0,Reciprocating
62263,Aeroprakt,Non-Fatal,1.0,Reciprocating
62271,Carris,Non-Fatal,1.0,Reciprocating
62276,Schilleci,Fatal(1),1.0,Reciprocating
62277,Ac Mfg & Dev't Co,Non-Fatal,1.0,Reciprocating
62282,Burton,Fatal(1),1.0,Reciprocating
62283,Waco Classic Aircraft,Non-Fatal,1.0,Reciprocating
62297,Diemert/rotorway,Non-Fatal,1.0,Reciprocating
62298,Scottish Aviation,Fatal(1),1.0,Reciprocating
62306,Wakewood,Fatal(2),1.0,Reciprocating
62314,"Culver, Aurther L.",Fatal(1),1.0,Reciprocating
62321,Charles C. Gillis,Non-Fatal,1.0,Reciprocating
62328,Romeo,Fatal(2),1.0,Reciprocating
62334,Dwayne Smith,Non-Fatal,1.0,Reciprocating
62336,Pavliga,Non-Fatal,1.0,Reciprocating
62342,Browns,Non-Fatal,1.0,Reciprocating
62344,Terrence A. Sack,Fatal(2),1.0,Reciprocating
62351,Robert J. Goodyear,Non-Fatal,1.0,Reciprocating
62365,Johnson-whittman Tailwind,Non-Fatal,1.0,Reciprocating
62371,Smith Carter A,Non-Fatal,1.0,Reciprocating
62374,Neal Anderson,Non-Fatal,1.0,Reciprocating
62376,Pzl Warzawa-cnpsl,Non-Fatal,1.0,Reciprocating
62382,"Murphy Aircraft Mfg, Ltd.",Fatal(2),1.0,Reciprocating
62392,Bird,Fatal(2),1.0,Reciprocating
62407,Piper Aircraft,Fatal(1),1.0,Reciprocating
62413,Riesland,Non-Fatal,1.0,Reciprocating
62416,Gadbois,Non-Fatal,1.0,Reciprocating
62418,Tolsma Tony G,Non-Fatal,1.0,Reciprocating
62424,Wilkinson Daniel V,Non-Fatal,1.0,Reciprocating
62430,Bishop Thomas W,Non-Fatal,1.0,Reciprocating
62431,Schleicher Alexander Gmbh,Fatal(1),1.0,Reciprocating
62436,Mcdonald,Fatal(1),1.0,Reciprocating
62443,Air Tractor,Non-Fatal,1.0,Turbo Shaft
62449,Ceridono,Fatal(1),1.0,Reciprocating
62454,Livpt Inc,Fatal(2),1.0,Turbo Prop
62471,Lee Stevens,Fatal(1),1.0,Reciprocating
62472,"Rotor Flight Dynamics, Inc.",Non-Fatal,1.0,Reciprocating
62499,Teague,Fatal(2),1.0,Reciprocating
62517,Sheely,Fatal(1),1.0,Reciprocating
62528,Everett,Non-Fatal,1.0,Reciprocating
62554,Hanson Gerald,Non-Fatal,1.0,Reciprocating
62555,Hillery W. Grice,Non-Fatal,1.0,Reciprocating
62560,Thrush Aircraft Inc.,Fatal(1),1.0,Turbo Prop
62563,Luciani,Non-Fatal,1.0,Reciprocating
62579,Westland Helicopters,Non-Fatal,1.0,Turbo Shaft
62586,Skygear,Fatal(1),1.0,Reciprocating
62589,Lidgard,Non-Fatal,1.0,Reciprocating
62590,Wroblewski,Non-Fatal,1.0,Reciprocating
62595,Columbia Aircraft Mfg,Fatal(3),1.0,Reciprocating
62598,Md Helicopters,Non-Fatal,1.0,Turbo Shaft
62599,Purvis,Fatal(1),1.0,Reciprocating
62600,Robert J. Jackson,Non-Fatal,1.0,Reciprocating
62610,Air Tractor Inc,Non-Fatal,1.0,Turbo Prop
62619,Doggett Jack,Non-Fatal,1.0,Reciprocating
62622,Dutton,Non-Fatal,1.0,Reciprocating
62623,Gray Jack,Non-Fatal,1.0,Reciprocating
62631,Brook,Non-Fatal,1.0,Turbo Prop
62638,Vance Renegade,Non-Fatal,1.0,Reciprocating
62640,Calstar 1,Non-Fatal,2.0,Turbo Shaft
62648,Cessna,Fatal(6),2.0,Turbo Fan
62668,James L. Stringfellow,Non-Fatal,1.0,Reciprocating
62690,Quad City Ultralight Aircraft,Non-Fatal,1.0,Reciprocating
62695,Rosenbaum,Non-Fatal,1.0,Reciprocating
62702,Gordon R Smith,Fatal(1),1.0,Reciprocating
62707,Shepard,Fatal(3),1.0,Turbo Prop
62712,Northwing Design,Non-Fatal,1.0,Reciprocating
62714,Sandall Evan R,Non-Fatal,1.0,Reciprocating
62717,Hill,Fatal(2),1.0,Reciprocating
62722,Becerra,Non-Fatal,1.0,Reciprocating
62723,Britten-norman,Non-Fatal,1.0,Reciprocating
62730,Rallison,Non-Fatal,1.0,Reciprocating
62734,Frew,Non-Fatal,1.0,Reciprocating
62735,Harpster,Non-Fatal,1.0,Reciprocating
62738,Halsted,Non-Fatal,1.0,Reciprocating
62754,Eagle Rnd,Non-Fatal,1.0,Reciprocating
62762,Evektor,Non-Fatal,1.0,Reciprocating
62770,Burk,Non-Fatal,1.0,Reciprocating
62771,Zaverton Elmer,Non-Fatal,1.0,Reciprocating
62778,"Sherman John, H",Non-Fatal,1.0,Reciprocating
62782,Truitt Peter,Non-Fatal,1.0,Reciprocating
62801,Evektor-aerotechnik As,Non-Fatal,1.0,Reciprocating
62817,Evenson Roger J,Non-Fatal,1.0,Reciprocating
62824,Cub Crafters Inc.,Non-Fatal,1.0,Reciprocating
62848,Rajhamsa,Non-Fatal,1.0,Reciprocating
62855,Saunders,Non-Fatal,1.0,Reciprocating
62864,Hesler,Non-Fatal,1.0,Reciprocating
62877,"Cub Crafters, Inc.",Fatal(1),1.0,Reciprocating
62881,Aviation International Rotors,Non-Fatal,2.0,Turbo Shaft
62905,Wsk-pzl Mielic,Non-Fatal,1.0,Reciprocating
62914,John D. Williams,Non-Fatal,1.0,Reciprocating
62915,Weatherly,Fatal(1),1.0,Turbo Shaft
62921,Ontario Avia. Hist. Soc.,Non-Fatal,1.0,Reciprocating
62922,Murrin Frederick L,Non-Fatal,1.0,Reciprocating
62930,Clement,Non-Fatal,1.0,Reciprocating
62932,Rodgers,Non-Fatal,1.0,Reciprocating
62955,Chrapczynski,Non-Fatal,1.0,Reciprocating
62965,Phantom Sport Airplane,Non-Fatal,1.0,Reciprocating
62966,Dta Sari,Non-Fatal,1.0,Reciprocating
62970,Larry J. Cook,Non-Fatal,1.0,Reciprocating
62972,Hazen,Fatal(1),1.0,Reciprocating
62979,Bush Caddy Usa,Non-Fatal,1.0,Reciprocating
62981,Midget Mustang,Fatal(1),1.0,Reciprocating
62987,Dennis M. Durgin,Non-Fatal,1.0,Reciprocating
62989,Found Aircraft Canada Inc,Non-Fatal,1.0,Reciprocating
63010,Express Aircraft,Fatal(1),1.0,Reciprocating
63013,Wolfe,Fatal(1),1.0,Reciprocating
63035,Evektor Aerotechnic,Non-Fatal,1.0,Reciprocating
63044,Beck,Fatal(1),1.0,Reciprocating
63049,Swanson,Fatal(1),1.0,Reciprocating
63050,Opus Motorsports Llc,Fatal(1),1.0,Reciprocating
63053,Powrachute Corp.,Non-Fatal,1.0,Reciprocating
63058,Stein,Fatal(1),1.0,Reciprocating
63062,Christen Industries Inc.,Non-Fatal,1.0,Reciprocating
63066,Netz,Non-Fatal,1.0,Reciprocating
63071,Robinson Helicopter,Non-Fatal,1.0,Reciprocating
63098,Buttles,Non-Fatal,1.0,Reciprocating
63099,Bass,Non-Fatal,1.0,Reciprocating
63104,"Six Chutter, Inc.",Non-Fatal,1.0,Reciprocating
63131,Burnham,Non-Fatal,1.0,Reciprocating
63134,Golden Eagle,Non-Fatal,1.0,Reciprocating
63143,Mapes,Non-Fatal,1.0,Reciprocating
63144,Stout Gordon,Non-Fatal,1.0,Reciprocating
63145,Roger A Dalke,Non-Fatal,1.0,Reciprocating
63152,Quicksilver Manufacturing,Non-Fatal,1.0,Reciprocating
63154,Ackert,Non-Fatal,1.0,Reciprocating
63158,Falcon Safety Craft Inc,Non-Fatal,1.0,Reciprocating
63173,Waco Classic Aircraft Corp,Non-Fatal,1.0,Reciprocating
63176,Huggles,Fatal(1),1.0,Reciprocating
63179,Zlin Aviation S.r.o.,Fatal(2),1.0,Reciprocating
63187,Clifford,Fatal(1),1.0,Reciprocating
63203,Terpstra,Fatal(1),1.0,Reciprocating
63210,Niva,Fatal(2),1.0,Reciprocating
63220,"Weaver, David A",Non-Fatal,1.0,Reciprocating
63227,Learjet Inc,Non-Fatal,2.0,Turbo Fan
63230,Raytheon Co,Incident,1.0,Reciprocating
63232,Iniziative Industriali Italian,Non-Fatal,1.0,Reciprocating
63236,Nunn,Incident,1.0,Reciprocating
63241,Edra Aeronautica,Non-Fatal,1.0,Reciprocating
63243,Mcnicholas,Non-Fatal,1.0,Reciprocating
63251,Nicely,Non-Fatal,1.0,Reciprocating
63256,"Mcfaul, Daniel D.",Non-Fatal,1.0,Reciprocating
63258,Elliott Cirrus,Fatal(2),1.0,Reciprocating
63263,Apollo North America Inc,Fatal(2),1.0,Reciprocating
63266,Fitt,Non-Fatal,1.0,Reciprocating
63281,Lancair Company,Fatal(6),1.0,Reciprocating
63283,Ebersole,Fatal(1),1.0,Reciprocating
63284,Anthony J. Bencivenga,Non-Fatal,1.0,Reciprocating
63285,Wessel,Non-Fatal,1.0,Reciprocating
63289,Short Bros.,Non-Fatal,2.0,Turbo Prop
63294,Werner,Non-Fatal,1.0,Reciprocating
63299,Trinidad,Non-Fatal,1.0,Reciprocating
63305,Kearney,Non-Fatal,1.0,Reciprocating
63316,Schrack,Fatal(2),1.0,Reciprocating
63317,American Air Racing,Non-Fatal,1.0,Reciprocating
63327,Furey,Non-Fatal,1.0,Reciprocating
63334,"Ekornaas, Fred",Non-Fatal,1.0,Reciprocating
63362,Rogerson Hiller Corp.,Non-Fatal,1.0,Turbo Shaft
63379,Hasch,Non-Fatal,1.0,Reciprocating
63384,Deluca-owl,Fatal(1),1.0,Reciprocating
63387,Skykits,Non-Fatal,1.0,Reciprocating
63393,Tuttle Cassutt,Fatal(1),1.0,Reciprocating
63396,Evektor-aerotechnik A.s.,Fatal(2),1.0,Reciprocating
63408,Francis,Non-Fatal,1.0,Reciprocating
63415,St. Claire,Non-Fatal,1.0,Reciprocating
63419,Jeffrey Wilson,Non-Fatal,1.0,Reciprocating
63425,Siebert,Non-Fatal,1.0,Reciprocating
63426,Short Bros.,Fatal(1),2.0,Turbo Prop
63430,Temco,Fatal(1),1.0,Reciprocating
63451,Langley,Non-Fatal,1.0,Reciprocating
63455,Fly By Sea Co,Non-Fatal,1.0,Turbo Prop
63466,Everson,Non-Fatal,1.0,Reciprocating
63484,Helio,Fatal(4),1.0,Reciprocating
63485,Schweizer,Incident,1.0,Turbo Shaft
63490,Degelia,Non-Fatal,1.0,Reciprocating
63495,Lambert John G,Fatal(1),1.0,Reciprocating
63498,Indus,Non-Fatal,1.0,Reciprocating
63505,Raytheon Aircraft Company,Fatal(3),2.0,Turbo Prop
63510,Dusenberry,Non-Fatal,1.0,Reciprocating
63511,Pelt,Fatal(1),1.0,Reciprocating
63520,Bell Helicopter Textron,Incident,1.0,Turbo Shaft
63531,Rittal,Non-Fatal,1.0,Reciprocating
63540,Krueger,Non-Fatal,1.0,Reciprocating
63548,Haring Clay,Non-Fatal,1.0,Reciprocating
63550,Slagle,Non-Fatal,1.0,Reciprocating
63570,Formhals,Non-Fatal,1.0,Reciprocating
63582,Poser,Non-Fatal,1.0,Reciprocating
63592,Ward Rc,Non-Fatal,1.0,Reciprocating
63596,Robinson,Non-Fatal,1.0,Turbo Shaft
63598,Blair,Non-Fatal,1.0,Reciprocating
63614,Catchot Angus,Non-Fatal,1.0,Reciprocating
63624,North Wing,Fatal(1),1.0,Reciprocating
63626,Ploof Progressive Aerodyne's,Non-Fatal,1.0,Reciprocating
63628,"Veltman, Robert",Non-Fatal,1.0,Reciprocating
63649,Bagnall Harold E,Non-Fatal,1.0,Reciprocating
63651,Mcdonnell Douglas Helicopter,Non-Fatal,1.0,Turbo Shaft
63658,Dye,Non-Fatal,1.0,Reciprocating
63665,"Wrb Associates, Llc.",Fatal(1),1.0,Reciprocating
63666,Kelly,Fatal(1),1.0,Reciprocating
63671,Daniel R. Lloyd,Fatal(1),1.0,Reciprocating
63674,Pipistrel,Non-Fatal,1.0,Reciprocating
63680,"Gluff, Alan",Non-Fatal,1.0,Reciprocating
63681,Blondin,Fatal(2),1.0,Reciprocating
63687,Robinson Helicopter,Fatal(3),1.0,Reciprocating
63690,Arrow Falcon Exporters,Non-Fatal,1.0,Turbo Shaft
63703,Scottish,Non-Fatal,1.0,Reciprocating
63712,Sea & Air Sales,Non-Fatal,1.0,Reciprocating
63721,"Brand, Richard",Non-Fatal,1.0,Reciprocating
63734,Evektor-aerotechnik,Non-Fatal,1.0,Reciprocating
63739,Gomory,Non-Fatal,1.0,Reciprocating
63774,"Godwin, David P",Non-Fatal,1.0,Reciprocating
63783,Bell,Non-Fatal,2.0,Turbo Jet
63788,Swearingen T R/masters W,Fatal(1),1.0,Reciprocating
63800,Eurocopter Deutschland,Fatal(4),2.0,Turbo Shaft
63809,Messing Roy,Non-Fatal,1.0,Reciprocating
63811,Senft/anderson/salmon,Non-Fatal,1.0,Reciprocating
63814,Piaggio Aero Industries S.p.a.,Non-Fatal,2.0,Turbo Prop
63817,Fisher Aero,Non-Fatal,1.0,Reciprocating
63833,"Wootton, John",Fatal(1),1.0,Reciprocating
63848,Garniss,Fatal(1),1.0,Reciprocating
63855,Reims,Fatal(1),1.0,Reciprocating
63872,Portman,Non-Fatal,1.0,Reciprocating
63880,Found Acft,Non-Fatal,1.0,Reciprocating
63900,Hein,Non-Fatal,1.0,Reciprocating
63906,Althouse,Fatal(2),1.0,Reciprocating
63910,Lerohl,Non-Fatal,1.0,Reciprocating
63913,Barnard/Stancil,Non-Fatal,1.0,Reciprocating
63917,Pilatus,Fatal,1.0,Turbo Prop
63919,Costruzioni Aeronautiche,Non-Fatal,1.0,Reciprocating
63920,American Champion (ACAC),Non-Fatal,1.0,Reciprocating
63922,PIPER,Fatal,2.0,Reciprocating
63923,DEAN PATRICK G,Non-Fatal,1.0,Reciprocating
63926,McGuire,Non-Fatal,1.0,Reciprocating
63929,BELL,Non-Fatal,1.0,Turbo Shaft
63936,Corsario,Fatal,1.0,Reciprocating
63944,Cessna,Fatal,2.0,Reciprocating
63945,Ziermann,Non-Fatal,1.0,Reciprocating
63946,CESSNA,Fatal,1.0,Reciprocating
63948,Newbold,Non-Fatal,1.0,Reciprocating
63954,Hawker Beechcraft Corporation,Fatal,2.0,Turbo Prop
63956,DeSousa,Non-Fatal,1.0,Reciprocating
63965,Hawker Beechcraft Corp.,Fatal,2.0,Reciprocating
63967,AERO COMMANDER,Fatal,2.0,Reciprocating
63970,Beechcraft,Fatal,1.0,Reciprocating
63971,PIPER,Fatal,1.0,Turbo Prop
63975,Air Creation,Fatal,1.0,Reciprocating
63976,Waltermire,Non-Fatal,1.0,Reciprocating
63982,Robinson,Fatal,1.0,Reciprocating
63986,MacAdams,Non-Fatal,1.0,Reciprocating
63988,PIPER,Non-Fatal,1.0,Reciprocating
63993,ROBINSON HELICOPTER,Fatal,1.0,Reciprocating
63995,Unknown,Fatal,1.0,Reciprocating
63997,James Dayton,Non-Fatal,1.0,Reciprocating
64002,GRUMMAN,Non-Fatal,2.0,Reciprocating
64006,Airborne,Non-Fatal,1.0,Reciprocating
64009,AirIndus,Non-Fatal,1.0,Reciprocating
64011,RAYTHEON AIRCRAFT COMPANY,Fatal,2.0,Turbo Prop
64012,CESSNA,Fatal,2.0,Turbo Fan
64014,CESSNA,Non-Fatal,1.0,Reciprocating
64015,North American Rockwell Corp.,Non-Fatal,2.0,Turbo Fan
64016,CIRRUS DESIGN CORP,Fatal,1.0,Reciprocating
64018,KIDD CHRIS,Fatal,1.0,Reciprocating
64019,CESSNA,Fatal,2.0,Reciprocating
64020,KAYLOR J E/STRAHLMANN R L,Fatal,1.0,Reciprocating
64021,de Havilland,Non-Fatal,2.0,Turbo Prop
64024,Kral,Non-Fatal,1.0,Reciprocating
64025,Squier,Non-Fatal,1.0,Reciprocating
64028,Cessna,Fatal,1.0,Reciprocating
64031,de Havilland,Non-Fatal,1.0,Reciprocating
64032,Eurocopter France,Fatal,1.0,Turbo Shaft
64038,Wooters,Fatal,1.0,Reciprocating
64039,MCDONNELL DOUGLAS,Non-Fatal,1.0,Turbo Shaft
64045,William P. Crowell,Non-Fatal,1.0,Reciprocating
64048,Sonex,Non-Fatal,1.0,Reciprocating
64057,Plocher,Non-Fatal,1.0,Reciprocating
64073,Piper,Fatal,2.0,Reciprocating
64078,BEECHCRAFT,Non-Fatal,2.0,Turbo Fan
64085,Munson,Fatal,1.0,Reciprocating
64086,LANCAIR,Fatal,1.0,Reciprocating
64087,Stephen F. Graves,Non-Fatal,1.0,Reciprocating
64088,Steven Hardie,Non-Fatal,2.0,Reciprocating
64090,Clutton Eric,Non-Fatal,1.0,Reciprocating
64094,EMBRAER,Non-Fatal,2.0,Turbo Fan
64095,Wilson,Fatal,1.0,Reciprocating
64096,McDonnell Douglas,Non-Fatal,2.0,Turbo Fan
