,Make,Aircraft.Category,Number.of.Engines,Engine.Type,Injury.Severity
182,Aeronca,Airplane,1.0,Reciprocating,Non-Fatal
183,Piper,Airplane,1.0,Reciprocating,Non-Fatal
184,Piper,Airplane,1.0,Reciprocating,Fatal(1)
185,Cessna,Airplane,2.0,Reciprocating,Non-Fatal
186,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
187,Mooney,Airplane,1.0,Reciprocating,Non-Fatal
188,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
189,Piper,Airplane,1.0,Reciprocating,Non-Fatal
190,Cessna,Airplane,1.0,Reciprocating,Fatal(1)
191,Beech,Airplane,2.0,Turbo Prop,Incident
192,Cessna,Airplane,1.0,Reciprocating,Fatal(1)
193,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
194,Piper,Airplane,1.0,Reciprocating,Incident
195,Mooney,Airplane,1.0,Reciprocating,Non-Fatal
196,Cessna,Airplane,1.0,Reciprocating,Fatal(1)
197,Aeronca,Airplane,1.0,Reciprocating,Non-Fatal
198,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
199,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
200,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
201,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
202,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
203,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
204,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
205,Piper,Airplane,1.0,Reciprocating,Non-Fatal
206,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
207,Beech,Airplane,1.0,Reciprocating,Non-Fatal
208,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
209,Piper,Airplane,1.0,Reciprocating,Non-Fatal
210,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
211,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
212,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
213,Piper,Airplane,1.0,Reciprocating,Non-Fatal
214,Beech,Airplane,2.0,Turbo Prop,Non-Fatal
215,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
217,Cessna,Airplane,1.0,Reciprocating,Fatal(2)
218,Bellanca,Airplane,1.0,Reciprocating,Non-Fatal
219,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
220,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
221,Grumman,Airplane,2.0,Turbo Jet,Non-Fatal
222,Piper,Airplane,1.0,Reciprocating,Non-Fatal
223,Piper,Airplane,2.0,Reciprocating,Fatal(1)
224,Cessna,Airplane,1.0,Reciprocating,Fatal(2)
225,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
226,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
227,Smith Miniplane,Airplane,1.0,Reciprocating,Non-Fatal
228,Mooney,Airplane,1.0,Reciprocating,Fatal(1)
229,Mitsubishi,Airplane,2.0,Turbo Prop,Non-Fatal
230,Mcdonnell-douglas,Airplane,3.0,Turbo Fan,Non-Fatal
231,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
232,Taylorcraft,Airplane,1.0,Reciprocating,Non-Fatal
234,Ted Smith,Airplane,2.0,Reciprocating,Non-Fatal
236,Bellanca,Airplane,1.0,Reciprocating,Non-Fatal
238,Piper,Airplane,1.0,Reciprocating,Fatal(2)
239,Piper,Airplane,1.0,Reciprocating,Fatal(4)
240,Piper,Airplane,1.0,Reciprocating,Non-Fatal
241,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
242,Boeing,Airplane,1.0,Reciprocating,Non-Fatal
243,Piper,Airplane,2.0,Reciprocating,Non-Fatal
244,Bellanca,Airplane,1.0,Reciprocating,Non-Fatal
245,Taylorcraft,Airplane,1.0,Reciprocating,Non-Fatal
246,Piper,Airplane,1.0,Reciprocating,Non-Fatal
248,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
249,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
250,Piper,Airplane,1.0,Reciprocating,Non-Fatal
251,Ercoupe,Airplane,2.0,Reciprocating,Non-Fatal
252,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
253,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
254,Piper,Airplane,1.0,Reciprocating,Fatal(8)
255,Cessna,Airplane,1.0,Reciprocating,Fatal(8)
256,Piper,Airplane,1.0,Reciprocating,Non-Fatal
257,Cessna,Airplane,1.0,Reciprocating,Fatal(4)
258,Rockwell Comdr,Airplane,1.0,Reciprocating,Non-Fatal
259,Piper,Airplane,1.0,Reciprocating,Non-Fatal
260,Bellanca,Airplane,1.0,Reciprocating,Non-Fatal
261,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
262,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
263,Piper,Airplane,1.0,Reciprocating,Non-Fatal
264,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
265,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
266,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
267,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
268,Cessna,Airplane,1.0,Reciprocating,Fatal(1)
