,Make,Aircraft.Category,Number.of.Engines,Engine.Type,Injury.Severity
74502,BEECH,Airplane,1.0,Reciprocating,Non-Fatal
74505,AERONCA,Airplane,1.0,Reciprocating,Non-Fatal
74506,CESSNA,Airplane,2.0,Turbo Fan,Fatal
74507,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74508,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74509,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74510,UNKNOWN,Airplane,1.0,Unknown,Non-Fatal
74511,AIR TRACTOR INC,Airplane,1.0,Reciprocating,Non-Fatal
74512,AIR TRACTOR INC,Airplane,1.0,Turbo Prop,Non-Fatal
74514,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74515,BOEING,Airplane,,,
74516,VENABLES ZENITH,Airplane,1.0,Reciprocating,Non-Fatal
74518,EMBRAER,Airplane,,,
74519,CESSNA,Airplane,2.0,Reciprocating,Fatal
74521,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74522,ROCKWELL,Airplane,,,Non-Fatal
74526,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74527,AMATEUR BUILT AIRCRAFT,Airplane,1.0,,Fatal
74528,PIPER,Airplane,1.0,Reciprocating,Fatal
74529,BEECH,Airplane,1.0,Reciprocating,Non-Fatal
74530,BRITTEN-NORMAN,Airplane,2.0,Reciprocating,Fatal
74533,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74534,KENNETH M FRANZ,Airplane,1.0,Reciprocating,Non-Fatal
74535,BEECH,Airplane,,Reciprocating,Non-Fatal
74536,MOONEY,Airplane,1.0,Reciprocating,Non-Fatal
74537,PIPER,Airplane,1.0,Turbo Prop,Non-Fatal
74538,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74541,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74542,MOONEY,Airplane,1.0,Reciprocating,Fatal
74545,CESSNA,Airplane,2.0,Reciprocating,Non-Fatal
74546,CESSNA,Airplane,2.0,Reciprocating,Fatal
74548,AIRBUS,Airplane,,Turbo Fan,
74549,CESSNA,Airplane,1.0,,Non-Fatal
74550,PIPER,Airplane,1.0,Unknown,Non-Fatal
74551,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74554,SUTPHIN,Airplane,1.0,Reciprocating,Non-Fatal
74555,AVIAT AIRCRAFT INC,Airplane,1.0,Reciprocating,Non-Fatal
74556,CHAMPION,Airplane,1.0,Reciprocating,Non-Fatal
74557,PIPER,Airplane,2.0,Reciprocating,Non-Fatal
74558,CESSNA,Airplane,2.0,Turbo Fan,Non-Fatal
74559,GULFSTREAM,Airplane,2.0,,Non-Fatal
74562,BEECH,Airplane,,Reciprocating,Non-Fatal
74564,BELLER,Airplane,1.0,Reciprocating,Non-Fatal
74565,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74566,LUSCOMBE,Airplane,1.0,Reciprocating,Fatal
74567,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74568,CESSNA,Airplane,,,Fatal
74569,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74570,AIRBUS,Airplane,2.0,Turbo Fan,Non-Fatal
74571,CLASSIC AIRCRAFT CORP,Airplane,1.0,Reciprocating,Non-Fatal
74572,EMBRAER-EMPRESA BRASILEIRA DE,Airplane,2.0,Turbo Fan,Non-Fatal
74573,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74574,FULLER VAN L,Airplane,1.0,Reciprocating,Non-Fatal
74577,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74578,L GOLDNER,Airplane,1.0,Reciprocating,Non-Fatal
74579,PIPER,Airplane,2.0,Reciprocating,Non-Fatal
74580,PIPER,Airplane,1.0,Reciprocating,Fatal
74582,CESSNA,Airplane,1.0,Unknown,Fatal
74583,CESSNA,Airplane,2.0,Turbo Fan,Fatal
74584,CESSNA,Airplane,1.0,Reciprocating,Fatal
74586,AYRES,Airplane,,,Fatal
74587,BOEING,Airplane,2.0,Turbo Fan,Non-Fatal
74588,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74589,MCDONALD HOWARD BRIAN,Airplane,1.0,Reciprocating,Non-Fatal
74590,AEROTEK,Airplane,1.0,Reciprocating,Non-Fatal
74592,COLLINS,Airplane,1.0,Reciprocating,Non-Fatal
74593,DAVENPORT,Airplane,1.0,Reciprocating,Non-Fatal
74594,BOEING,Airplane,1.0,Reciprocating,Fatal
74595,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74596,POHOSKI,Airplane,1.0,Reciprocating,Non-Fatal
74598,PIPER,Airplane,,,Fatal
74599,CESSNA AIRCRAFT COMPANY,Airplane,1.0,Reciprocating,Fatal
74601,AVIAT,Airplane,1.0,Reciprocating,Non-Fatal
74604,BOEING,Airplane,2.0,,Non-Fatal
74605,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74606,PIPER,Airplane,1.0,Reciprocating,Fatal
74608,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74609,PIPER,Airplane,1.0,Reciprocating,Fatal
74611,AIR TRACTOR INC,Airplane,1.0,Turbo Prop,Non-Fatal
74612,PIPER,Airplane,2.0,Reciprocating,Fatal
74613,BOEING,Airplane,2.0,Turbo Fan,Non-Fatal
74614,CESSNA,Airplane,1.0,Turbo Prop,Non-Fatal
74616,DENISAR RICHARD A,Airplane,1.0,Reciprocating,Non-Fatal
74617,TECNAM,Airplane,1.0,Reciprocating,Non-Fatal
74618,CESSNA,Airplane,,Reciprocating,Non-Fatal
74619,PIPER,Airplane,2.0,Reciprocating,Non-Fatal
74621,BEECH,Airplane,2.0,Turbo Prop,Non-Fatal
74622,BEECH,Airplane,,Reciprocating,Non-Fatal
74623,CESSNA,Airplane,,Reciprocating,Fatal
74624,NORTH AMERICAN,Airplane,,Reciprocating,Fatal
74627,PZL OKECIE,Airplane,,,Fatal
74628,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74629,AVIAT AIRCRAFT INC,Airplane,1.0,Reciprocating,Non-Fatal
74630,BAE SYSTEMS (OPERATIONS) LIMIT,Airplane,4.0,Turbo Fan,Non-Fatal
74631,LANCAIR,Airplane,,Reciprocating,Fatal
74632,BEECH,Airplane,,Reciprocating,Non-Fatal
74633,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74634,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74635,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74636,MOONEY AIRPLANE CO INC,Airplane,1.0,Reciprocating,Non-Fatal
74638,BEECH,Airplane,,Reciprocating,Non-Fatal
74640,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74641,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74642,BELLANCA,Airplane,1.0,Reciprocating,Fatal
74643,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74644,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74645,MUSICK,Airplane,1.0,Reciprocating,Fatal
74646,PIPER,Airplane,1.0,Reciprocating,Fatal
74648,CESSNA,Airplane,1.0,Reciprocating,Fatal
74649,GLASAIR AVIATION USA LLC,Airplane,1.0,Reciprocating,Non-Fatal
74650,STINSON,Airplane,1.0,Reciprocating,Non-Fatal
74652,BOEING,Airplane,2.0,,
74654,CLEVENGER JIMMIE B,Airplane,,Reciprocating,Non-Fatal
74655,AERO COMMANDER,Airplane,2.0,Reciprocating,Non-Fatal
74656,BEECH,Airplane,2.0,Turbo Prop,Fatal
74658,PIPER,Airplane,2.0,Reciprocating,Fatal
74659,YUNEEC,Airplane,1.0,Electric,Non-Fatal
74660,MIKOYAN GUREVICH,Airplane,1.0,Turbo Jet,Non-Fatal
74661,TEAL HARRY H,Airplane,1.0,Reciprocating,Non-Fatal
74663,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74665,PIPER,Airplane,,,Fatal
74666,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74667,ROVEY JASON H,Airplane,1.0,Reciprocating,Non-Fatal
74669,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74670,RAYTHEON AIRCRAFT COMPANY,Airplane,1.0,Reciprocating,Non-Fatal
74671,SWEARINGEN,Airplane,,,Fatal
74672,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74673,GRUMMAN AMERICAN AVN. CORP.,Airplane,1.0,Reciprocating,Non-Fatal
74674,TAYLORCRAFT,Airplane,1.0,Reciprocating,Non-Fatal
74675,BEECH,Airplane,,Reciprocating,Non-Fatal
74676,PIPER,Airplane,1.0,Reciprocating,Fatal
74677,CESSNA,Airplane,1.0,Reciprocating,Fatal
74678,CESSNA ECTOR,Airplane,1.0,Reciprocating,Non-Fatal
74679,BOEING,Airplane,,,Non-Fatal
74680,MOONEY,Airplane,1.0,Reciprocating,Non-Fatal
74681,PIPER,Airplane,1.0,Unknown,Non-Fatal
74682,BOEING,Airplane,,,
74683,AVIAT AIRCRAFT INC,Airplane,1.0,Reciprocating,Non-Fatal
74685,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74687,MITSUBISHI,Airplane,2.0,Turbo Prop,Fatal
74688,CIRRUS DESIGN CORP,Airplane,1.0,Reciprocating,Fatal
74689,SWEARINGEN,Airplane,,,Fatal
74691,PIPER,Airplane,2.0,Reciprocating,Fatal
74692,BOEING,Airplane,,,Non-Fatal
74693,BEECHCRAFT,Airplane,1.0,Reciprocating,Fatal
74694,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74695,MAULE,Airplane,,Reciprocating,Non-Fatal
74696,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74697,BOMBARDIER INC,Airplane,2.0,Turbo Fan,Non-Fatal
74698,CESSNA,Airplane,2.0,Reciprocating,Fatal
74699,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74700,QUAD CITY,Airplane,1.0,Reciprocating,Non-Fatal
74701,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74702,QUICKSILVER,Airplane,1.0,Reciprocating,Non-Fatal
74703,MAULE,Airplane,1.0,Reciprocating,Non-Fatal
74704,EMBRAER,Airplane,,,Non-Fatal
74705,AVIAT AIRCRAFT INC,Airplane,1.0,Reciprocating,Non-Fatal
74707,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74710,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74712,CESSNA,Airplane,,,Non-Fatal
74713,BOEING,Airplane,,,Fatal
74714,RICHARD S DUNCAN,Airplane,1.0,Reciprocating,Non-Fatal
74715,FOCKE-WULF,Airplane,1.0,Reciprocating,Fatal
74716,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74718,CESSNA,Airplane,1.0,Reciprocating,Fatal
74719,PIPER,Airplane,1.0,Unknown,Non-Fatal
74720,SOCATA,Airplane,1.0,Turbo Prop,Fatal
74722,CESSNA,Airplane,1.0,Reciprocating,Fatal
74723,LEARJET,Airplane,2.0,Turbo Fan,Fatal
74725,BOEING,Airplane,4.0,Turbo Jet,Non-Fatal
74726,BEECH,Airplane,2.0,Turbo Prop,Non-Fatal
74727,NEW PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74728,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74729,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74730,PIPER,Airplane,1.0,Turbo Prop,Non-Fatal
74731,MCDONNELL DOUGLAS,Airplane,,,
74732,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74733,PIPER,Airplane,2.0,Reciprocating,Fatal
74734,DOUGLAS,Airplane,4.0,Reciprocating,Non-Fatal
74735,DE HAVILLAND,Airplane,2.0,Turbo Prop,Non-Fatal
74736,CESSNA,Airplane,1.0,,
74737,QUAD CITY ULTRALIGHT ACFT CORP,Airplane,1.0,Reciprocating,Non-Fatal
74738,BIESEMEIER DAVID I,Airplane,1.0,Reciprocating,Fatal
74739,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74740,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74741,BEECH,Airplane,,Reciprocating,Non-Fatal
74743,SAAB,Airplane,2.0,Unknown,Non-Fatal
74744,CESSNA,Airplane,1.0,Reciprocating,Fatal
74745,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74747,CESSNA,Airplane,1.0,Turbo Prop,Fatal
74748,PIPER,Airplane,1.0,Reciprocating,Fatal
74749,EMBRAER,Airplane,,,Fatal
74750,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74751,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74752,BEECH,Airplane,1.0,Reciprocating,Fatal
74754,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74755,MOFFITT OSCAR/ KIT PROSTAR A/C,Airplane,1.0,Reciprocating,Non-Fatal
74756,BEECH,Airplane,1.0,Reciprocating,Non-Fatal
74757,CESSNA,Airplane,2.0,Turbo Fan,Non-Fatal
74759,PIPER,Airplane,1.0,Turbo Prop,Fatal
74760,AERO COMMANDER,Airplane,2.0,Reciprocating,Non-Fatal
74761,FAIRCHILD,Airplane,2.0,Turbo Prop,Fatal
74762,ANDERSON ANDREAS,Airplane,1.0,Reciprocating,Non-Fatal
74763,BELLANCA,Airplane,,Reciprocating,Non-Fatal
74764,THOMPSON WILLIAM A,Airplane,1.0,Reciprocating,Non-Fatal
74765,BOEING,Airplane,,,
74766,BRITTEN NORMAN,Airplane,,,Fatal
74767,BOEING,Airplane,,,Non-Fatal
74768,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74773,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74774,PIPER AIRCRAFT INC,Airplane,1.0,Turbo Prop,Non-Fatal
74776,AVIAT AIRCRAFT INC,Airplane,1.0,Reciprocating,Fatal
74777,CESSNA,Airplane,2.0,Reciprocating,Fatal
74780,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74781,CHRISTEN INDUSTRIES INC,Airplane,,Reciprocating,Non-Fatal
74783,AVIAT AIRCRAFT INC,Airplane,1.0,Reciprocating,Non-Fatal
74784,BEECH,Airplane,2.0,Reciprocating,Non-Fatal
74785,ROCKWELL INTERNATIONAL,Airplane,1.0,Reciprocating,Non-Fatal
74786,BEECH,Airplane,2.0,Turbo Prop,Non-Fatal
74788,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74790,CESSNA,Airplane,1.0,Turbo Prop,Fatal
74791,PIPER,Airplane,1.0,Reciprocating,Fatal
74792,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74793,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74794,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74795,BELLANCA,Airplane,1.0,Reciprocating,Non-Fatal
74796,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74798,MAARTEN H VERSTEEG,Airplane,,Reciprocating,Non-Fatal
74800,CESSNA AIRCRAFT,Airplane,1.0,Unknown,Fatal
74801,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74803,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74804,QUICKSILVER,Airplane,1.0,Reciprocating,Non-Fatal
74805,RAYTHEON AIRCRAFT COMPANY,Airplane,2.0,Turbo Fan,Fatal
74806,RAYTHEON,Airplane,1.0,Reciprocating,Fatal
74807,BEECH,Airplane,1.0,Reciprocating,Fatal
74808,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74809,BOEING,Airplane,,,
74810,BOEING,Airplane,,,Non-Fatal
74811,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74814,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74815,CESSNA,Airplane,,,Non-Fatal
74816,BOEING,Airplane,,,
74817,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74818,BOEING,Airplane,2.0,Turbo Fan,Non-Fatal
74819,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74820,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74821,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74822,AVIAT AIRCRAFT INC,Airplane,1.0,Reciprocating,Non-Fatal
74823,CESSNA,Airplane,,Reciprocating,Non-Fatal
74824,PIPER,Airplane,2.0,Reciprocating,Fatal
74825,CESSNA,Airplane,1.0,Reciprocating,Fatal
74826,STINSON,Airplane,1.0,Reciprocating,Non-Fatal
74827,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74829,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74830,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74831,CUBCRAFTERS INC,Airplane,1.0,Reciprocating,Non-Fatal
74832,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74834,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74836,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74837,CESSNA,Airplane,,,Non-Fatal
74840,BELLANCA,Airplane,1.0,Reciprocating,Non-Fatal
74841,BEECH,Airplane,,Unknown,Fatal
74843,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74845,DEHAVILLAND,Airplane,1.0,Reciprocating,Non-Fatal
74846,PRIZIO,Airplane,1.0,Reciprocating,Non-Fatal
74847,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74849,CIRRUS DESIGN CORP,Airplane,1.0,Reciprocating,Non-Fatal
74850,CLAYHOLD,Airplane,1.0,Reciprocating,Non-Fatal
74851,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74852,FK LIGHTPLANES,Airplane,1.0,Reciprocating,Non-Fatal
74853,BOEING,Airplane,2.0,Turbo Fan,Non-Fatal
74854,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74855,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74856,CANADAIR LTD,Airplane,2.0,Turbo Fan,Fatal
74857,BOEING,Airplane,,,Non-Fatal
74860,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74861,PIPER,Airplane,,,Non-Fatal
74862,MOONEY,Airplane,1.0,Reciprocating,Fatal
74863,CIRRUS DESIGN CORP.,Airplane,1.0,Unknown,Non-Fatal
74864,GIPPSLAND,Airplane,1.0,,Non-Fatal
74865,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74867,CIRRUS DESIGN CORP,Airplane,1.0,Reciprocating,Non-Fatal
74868,BOEING,Airplane,2.0,Turbo Fan,Non-Fatal
74870,MAULE,Airplane,1.0,Reciprocating,Non-Fatal
74871,BOEING,Airplane,2.0,Unknown,Non-Fatal
74873,CESSNA,Airplane,2.0,Reciprocating,Fatal
74874,HALLENDORF TOM,Airplane,1.0,Reciprocating,Non-Fatal
74875,CESSNA,Airplane,2.0,Turbo Fan,
74876,CESSNA,Airplane,2.0,,Fatal
74877,BOEING,Airplane,2.0,Turbo Fan,Non-Fatal
74878,MORRISEY,Airplane,1.0,Reciprocating,Fatal
74880,ISRAEL AIRCRAFT INDUSTRIES,Airplane,2.0,Turbo Fan,Non-Fatal
74881,AMERICAN CHAMPION AIRCRAFT,Airplane,1.0,Reciprocating,Fatal
74882,CESSNA,Airplane,2.0,Reciprocating,Non-Fatal
74883,HELIO,Airplane,,Reciprocating,Non-Fatal
74884,DIAMOND AIRCRAFT IND INC,Airplane,,Reciprocating,Non-Fatal
74888,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74890,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74891,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74892,CESSNA,Airplane,,,Fatal
74893,PIPER,Airplane,,,Fatal
74894,ERCOUPE,Airplane,1.0,Reciprocating,Fatal
74895,BRITTEN NORMAN,Airplane,,,Fatal
74898,GRUMMAN AMERICAN AVN. CORP.,Airplane,1.0,Reciprocating,Non-Fatal
74900,BOEING,Airplane,2.0,Turbo Fan,Non-Fatal
74901,PIPER,Airplane,1.0,Turbo Prop,Non-Fatal
74902,CESSNA,Airplane,2.0,Reciprocating,Non-Fatal
74904,Fairchild Industries,Airplane,,,Non-Fatal
74905,WACO CLASSIC AIRCRAFT,Airplane,1.0,Reciprocating,Non-Fatal
74906,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74909,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74910,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74911,MOONEY,Airplane,1.0,Reciprocating,Non-Fatal
74912,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74913,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74914,BOEING,Airplane,,,
74915,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74916,PITTS,Airplane,1.0,Reciprocating,Non-Fatal
74917,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74918,BEECH,Airplane,2.0,Turbo Prop,Non-Fatal
74920,GENERAL ATOMICS,Airplane,1.0,Turbo Prop,Non-Fatal
74921,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74922,WEINZIERL,Airplane,1.0,Reciprocating,Non-Fatal
74923,PIPER,Airplane,2.0,Reciprocating,Non-Fatal
74924,CESSNA,Airplane,2.0,Reciprocating,Non-Fatal
74925,PIPER,Airplane,2.0,Reciprocating,Non-Fatal
74926,DIAMOND AIRCRAFT IND INC,Airplane,1.0,Reciprocating,Non-Fatal
74928,CESSNA,Airplane,,,Fatal
74929,PIAGGIO,Airplane,2.0,Turbo Prop,Non-Fatal
74930,MCDONNELL DOUGLAS AIRCRAFT CO,Airplane,2.0,Turbo Fan,Non-Fatal
74931,CESSNA,Airplane,1.0,Reciprocating,Fatal
74933,BEECH,Airplane,1.0,Reciprocating,Non-Fatal
74934,BOEING,Airplane,,,Non-Fatal
74935,GULFSTREAM AM CORP COMM DIV,Airplane,2.0,Turbo Prop,Fatal
74936,GATES LEARJET CORP.,Airplane,1.0,Turbo Fan,Non-Fatal
74937,TAYLORCRAFT,Airplane,,Reciprocating,Non-Fatal
74939,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74940,BEECH,Airplane,,,Fatal
74941,CESSNA,Airplane,2.0,Turbo Fan,Non-Fatal
74942,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74943,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74945,EMBRAER,Airplane,2.0,Turbo Jet,Non-Fatal
74947,CRAIG C WALLS,Airplane,1.0,Reciprocating,Non-Fatal
74948,TAYLORCRAFT,Airplane,,,Non-Fatal
74949,PIPER,Airplane,1.0,Reciprocating,Fatal
74952,BELLANCA,Airplane,1.0,Reciprocating,Non-Fatal
74953,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74954,MAHON PAUL D,Airplane,1.0,Reciprocating,Non-Fatal
74956,CESSNA,Airplane,1.0,Reciprocating,Fatal
74958,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74959,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74960,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74961,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74962,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74964,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74965,CIRRUS DESIGN CORP,Airplane,1.0,Reciprocating,Non-Fatal
74966,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74968,CESSNA,Airplane,1.0,Reciprocating,Fatal
74969,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74970,FOGG,Airplane,1.0,Reciprocating,Non-Fatal
74971,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74973,HILLAM SCOTT L,Airplane,1.0,Reciprocating,Fatal
74974,BEECH,Airplane,1.0,Reciprocating,Fatal
74975,PIPER,Airplane,2.0,Reciprocating,Non-Fatal
74977,BOEING,Airplane,2.0,Turbo Fan,Non-Fatal
74978,WILLIAMS CHRISTOPHER T,Airplane,1.0,Reciprocating,Fatal
74979,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74980,BOEING,Airplane,,,Non-Fatal
74981,HAWKER,Airplane,1.0,Reciprocating,Fatal
74985,CESSNA,Airplane,2.0,Reciprocating,Non-Fatal
74986,BEECH,Airplane,2.0,Turbo Prop,Fatal
74987,AIR TRACTOR INC,Airplane,,,Non-Fatal
74988,CESSNA AIRCRAFT,Airplane,1.0,Reciprocating,Fatal
74989,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74991,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74992,BEECH,Airplane,,Reciprocating,Fatal
74993,BEECH,Airplane,1.0,Reciprocating,Non-Fatal
74995,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
74996,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
74998,VANS,Airplane,1.0,Reciprocating,Fatal
74999,VICTOR M CORDERO,Airplane,1.0,Reciprocating,Non-Fatal
75000,PIPER AIRCRAFT INC,Airplane,1.0,Turbo Prop,Non-Fatal
75002,SABRENA,Airplane,1.0,Reciprocating,Fatal
75004,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
75005,AMERICAN LEGEND AIRCRAFT CO,Airplane,1.0,Reciprocating,Non-Fatal
75006,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
75007,LAKE,Airplane,1.0,Reciprocating,Non-Fatal
75008,BELLANCA,Airplane,1.0,Reciprocating,Non-Fatal
75009,DOUGLAS,Airplane,4.0,Reciprocating,Non-Fatal
75011,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
75012,PIPER,Airplane,2.0,Reciprocating,Fatal
75013,PARTENAVIA S.P.A.,Airplane,2.0,Reciprocating,Non-Fatal
75014,GRUMMAN,Airplane,1.0,Reciprocating,Non-Fatal
75015,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
75016,BEECH,Airplane,1.0,Reciprocating,Fatal
75017,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
75018,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
75019,AERONCA,Airplane,1.0,Reciprocating,Non-Fatal
75020,AMATEUR BUILT AIRCRAFT,Airplane,1.0,Reciprocating,Fatal
75021,SILVAIRE,Airplane,,Reciprocating,Non-Fatal
75022,PIPER,Airplane,1.0,Reciprocating,Fatal
75023,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
75025,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
75027,CESSNA,Airplane,,,Fatal
75028,AIRBUS,Airplane,,,Non-Fatal
75029,BOEING,Airplane,2.0,Turbo Fan,Non-Fatal
75030,DIAMOND AIRCRAFT IND INC,Airplane,,Reciprocating,Non-Fatal
75031,ZENAIR,Airplane,1.0,Reciprocating,Non-Fatal
75032,ZIVKO AERONAUTICS INC,Airplane,,Reciprocating,Fatal
75033,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
75034,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
75035,ROGERS GEORGE T,Airplane,1.0,Turbo Prop,Fatal
75036,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
75037,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
75038,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
75039,PETER W STEVENS,Airplane,1.0,Reciprocating,Non-Fatal
75041,OLSON KENNETH H T,Airplane,1.0,Reciprocating,Non-Fatal
75042,PIPER,Airplane,1.0,Reciprocating,Non-Fatal
75043,CESSNA,Airplane,2.0,Reciprocating,Non-Fatal
75044,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
75045,BOEING,Airplane,,,Fatal
75046,CESSNA,Airplane,1.0,Reciprocating,Fatal
75047,CESSNA,Airplane,1.0,Reciprocating,Non-Fatal
75048,KURTZ JAY B,Airplane,1.0,Reciprocating,Non-Fatal
75049,MCDONNELL DOUGLAS,Airplane,3.0,Turbo Fan,Non-Fatal
75050,BOEING,Airplane,,,Non-Fatal
